Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
140.557	0.280932	140.837	99.8231	0.225215	100.048	0.0202342	0.559226	0.57946	0.944555	0.260698	1.20525	63.8203	0.515825	64.3362	0.240171	0.200289	0.44046	233.193	0.460107	233.653	69.9102	0.103517	70.0138	7.43767	0.0583565	7.49603	
153.372	0.314656	153.686	96.3402	0.199409	96.5396	0.0167152	0.215245	0.23196	1.35393	0.0973586	1.45129	48.4078	0.227854	48.6356	0.267736	0.155129	0.422865	188.477	0.177416	188.655	56.1413	0.107916	56.2492	7.88839	0.0609958	7.94939	
139.492	0.295008	139.787	89.8775	0.18416	90.0617	0.0164219	0.124924	0.141346	1.22989	0.262164	1.49205	49.3462	0.223456	49.5696	0.268029	0.147211	0.41524	176.666	0.182987	176.849	59.0134	0.108502	59.1219	7.51421	0.0630485	7.57726	
139.182	0.628432	139.81	78.1335	0.174483	78.308	0.0158354	0.143105	0.158941	0.49735	0.0950126	0.592363	54.49	0.945434	55.4355	0.426384	0.192958	0.619342	162.745	0.177416	162.923	61.9723	0.18416	62.1564	13.7654	0.106449	13.8718	
160.888	0.540751	161.429	99.5395	0.180935	99.7204	0.0155422	0.0917869	0.107329	0.492365	0.104397	0.596761	47.9128	0.245743	48.1585	0.278586	0.142519	0.421105	150.197	0.173603	150.371	64.4148	0.108209	64.523	19.4371	0.106449	19.5436	
140.322	0.27624	140.598	91.7341	0.210846	91.945	0.0155422	0.0923734	0.107916	1.47592	0.355124	1.83105	47.5614	0.24281	47.8043	0.238998	0.163046	0.402044	156.863	0.182401	157.045	100.337	0.125217	100.462	8.92239	0.0736055	8.996	
156.425	0.821683	157.247	90.0523	0.202928	90.2553	0.0181814	0.114954	0.133135	0.824909	0.126684	0.951593	49.5022	0.225215	49.7274	0.289143	0.150143	0.439287	164.652	0.165979	164.818	55.7446	0.120819	55.8654	7.41626	0.220523	7.63679	
150.001	0.284451	150.286	78.9834	0.181521	79.1649	0.0161287	0.109382	0.125511	0.54339	0.0991181	0.642508	85.1389	0.657757	85.7967	0.872122	0.385036	1.25716	166.294	0.168911	166.463	66.8238	0.112901	66.9367	7.5667	0.0653945	7.63209	
148.109	0.816991	148.926	99.1272	0.223749	99.351	0.0219937	0.124631	0.146624	0.543977	0.0923734	0.63635	48.2122	0.243397	48.4556	0.27888	0.13988	0.418759	143.524	0.157768	143.681	55.1947	0.158061	55.3528	10.1751	0.102344	10.2775	
170.496	0.299407	170.795	88.5353	0.183281	88.7186	0.0158354	0.124338	0.140173	0.602626	0.122285	0.724911	67.3692	0.650133	68.0194	0.870949	0.424331	1.29528	172.438	0.167445	172.605	56.8023	0.110555	56.9129	7.46406	0.0621688	7.52623	
137.455	0.378878	137.834	81.7631	0.205274	81.9683	0.0167152	0.0976519	0.114367	0.479462	0.105276	0.584738	59.5932	0.225215	59.8184	0.280346	0.126977	0.407323	210.267	0.207327	210.475	61.5427	0.112314	61.655	7.4453	0.0747785	7.52007	
