Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
141.427	0.285918	141.713	84.8093	0.18416	84.9935	0.0140759	0.110848	0.124924	0.459521	0.0929599	0.552481	58.3788	0.229321	58.6081	0.286797	0.177416	0.464213	169.16	0.159527	169.32	51.9962	0.102051	52.0983	7.89015	0.0809367	7.97109	
178.041	0.301167	178.342	83.6528	0.298527	83.9513	0.0366561	0.176243	0.212899	0.792652	0.14897	0.941622	49.3937	0.260698	49.6544	0.285918	0.133428	0.419346	163.998	0.397059	164.395	61.9828	0.106743	62.0896	7.99015	0.0912004	8.08135	
148.024	0.306738	148.33	94.2358	0.534299	94.7701	0.0425211	0.282105	0.324626	1.35012	0.260991	1.61111	63.9095	0.516118	64.4256	0.536352	0.171844	0.708196	173.177	0.162753	173.339	54.5	0.111141	54.6111	7.61362	0.0609958	7.67462	
181.538	0.300287	181.838	92.1271	0.424918	92.552	0.0436941	0.271255	0.314949	1.35979	0.271255	1.63105	51.1611	0.220816	51.3819	0.239878	0.189439	0.429316	220.627	0.250141	220.877	75.9975	0.111435	76.1089	14.4029	0.0923734	14.4953	
165.09	0.850422	165.94	77.1593	0.182108	77.3415	0.0158354	0.112314	0.12815	0.742799	0.220816	0.963616	48.784	0.32316	49.1072	0.482394	0.472131	0.954525	156.824	0.171844	156.996	93.1696	0.110848	93.2804	7.35322	0.0571835	7.4104	
144.055	0.465386	144.52	106.375	0.202635	106.577	0.0164219	0.153956	0.170378	0.510546	0.0891477	0.599694	56.9624	0.224922	57.1873	0.239291	0.218764	0.458055	152.464	0.583565	153.047	85.1689	0.109382	85.2782	7.8796	0.0604093	7.94001	
143.751	0.280346	144.031	105.774	0.343981	106.118	0.0184747	0.119059	0.137534	0.552774	0.145158	0.697932	80.2989	0.250435	80.5493	0.263631	0.187093	0.450723	158.757	0.167738	158.925	51.9232	0.107036	52.0303	7.32917	0.0563038	7.38547	
166.491	0.280932	166.772	78.1233	0.376238	78.4995	0.0328439	0.304099	0.336943	0.816112	0.0947194	0.910831	63.1834	0.233133	63.4165	0.259818	0.17331	0.433129	203.024	0.226095	203.25	51.793	0.10381	51.8968	7.29017	0.0557173	7.34588	
151.956	0.290903	152.247	77.5526	0.178882	77.7315	0.0214072	0.0985316	0.119939	0.516998	0.180348	0.697346	62.2034	0.233719	62.4371	0.301753	0.136361	0.438114	181.727	0.230787	181.958	58.4348	0.0979451	58.5328	11.4801	0.0551308	11.5352	
169.874	0.288557	170.163	77.9752	0.608491	78.5837	0.0460401	0.199996	0.246036	0.519344	0.0982384	0.617582	47.8981	0.233719	48.1318	0.265977	0.191785	0.457761	157.855	0.172137	158.027	51.9684	0.225802	52.1942	14.8592	0.257179	15.1164	
