Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0.788839	0.247209	1.03605	0.239878	0.161287	0.401164	0.0152489	0.136067	0.151316	0.0991181	0.101464	0.200582	0.195304	0.212312	0.407616	0.0395886	0.17419	0.213778	0.491778	0.14985	0.641628	0.287384	0.146331	0.433715	0.0809367	0.0607025	0.141639	
0.698519	0.237532	0.93605	0.252487	0.161873	0.414361	0.0167152	0.120819	0.137534	0.109675	0.180055	0.28973	0.202048	0.235772	0.437821	0.0695	0.187093	0.256593	0.520223	0.156008	0.676232	0.26539	0.104983	0.370373	0.0747785	0.0838692	0.158648	
1.03194	0.229614	1.26156	0.252781	0.268909	0.52169	0.0167152	0.140466	0.157181	0.111728	0.453656	0.565384	0.397352	0.290903	0.688255	0.0439873	0.157768	0.201755	0.535766	0.158354	0.69412	0.280346	0.10557	0.385915	0.076538	0.0703797	0.146918	
0.691481	0.243397	0.934877	0.26539	0.169791	0.435181	0.0161287	0.134308	0.150437	0.106449	0.101171	0.20762	0.233133	0.21935	0.452483	0.0472131	0.159527	0.20674	0.51084	0.153369	0.664209	0.252194	0.105276	0.35747	0.0865084	0.0697932	0.156302	
0.721392	0.24457	0.965962	0.239584	0.160994	0.400578	0.0328439	0.134015	0.166859	0.108502	0.10469	0.213192	0.204101	0.211726	0.415827	0.0404683	0.182694	0.223162	0.504095	0.167738	0.671833	0.355124	0.222576	0.5777	0.0944261	0.217591	0.312017	
0.760981	0.252194	1.01317	0.24369	0.179175	0.422865	0.0149557	0.134015	0.14897	0.0917869	0.131669	0.223456	0.215831	0.214072	0.429903	0.0375359	0.176829	0.214365	0.522569	0.150143	0.672713	0.249848	0.101464	0.351312	0.0721392	0.0762447	0.148384	
0.725791	0.21847	0.944261	0.254247	0.158941	0.413188	0.0152489	0.12639	0.141639	0.119352	0.112314	0.231667	0.205274	0.228148	0.433422	0.0398818	0.163633	0.203515	0.537232	0.166272	0.703504	0.262164	0.0999979	0.362162	0.0695	0.0847489	0.154249	
0.774763	0.214658	0.989422	0.24193	0.175949	0.41788	0.0152489	0.135481	0.15073	0.144278	0.0979451	0.242224	0.197063	0.210259	0.407323	0.0428143	0.170671	0.213485	0.541337	0.146038	0.687375	0.251021	0.117886	0.368907	0.071846	0.0879747	0.159821	
0.760394	0.214951	0.975346	0.268616	0.175656	0.444272	0.0155422	0.131962	0.147504	0.122285	0.0967721	0.219057	0.207327	0.199116	0.406443	0.0395886	0.178002	0.217591	0.506148	0.154249	0.660396	0.263631	0.101171	0.364802	0.0815232	0.0733122	0.154835	
0.706143	0.23108	0.937223	0.246622	0.152489	0.399112	0.0137827	0.134308	0.148091	0.110262	0.0950126	0.205274	0.191492	0.198529	0.390021	0.0390021	0.177122	0.216124	0.504975	0.148677	0.653652	0.253954	0.102344	0.356297	0.0806434	0.0700865	0.15073	
0.700278	0.253954	0.954232	0.238705	0.165099	0.403804	0.0401751	0.263631	0.303806	0.111728	0.110262	0.221989	0.19677	0.241344	0.438114	0.0407616	0.178295	0.219057	0.529607	0.158648	0.688255	0.256006	0.103517	0.359523	0.0774177	0.0656877	0.143105	
0.700278	0.245156	0.945434	0.239878	0.171844	0.411721	0.0167152	0.13724	0.153956	0.223162	0.159821	0.382983	0.453069	0.287091	0.74016	0.0442806	0.16334	0.20762	0.514945	0.156008	0.670953	0.477409	0.201462	0.678871	0.0835759	0.074192	0.157768	
0.979451	0.247209	1.22666	0.366561	0.187093	0.553654	0.0178882	0.146918	0.164806	0.110262	0.127563	0.237825	0.213192	0.252194	0.465386	0.0410548	0.165392	0.206447	0.514945	0.152196	0.667141	0.249262	0.104103	0.353365	0.0879747	0.0721392	0.160114	
