Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
1.41698	0.291196	1.70817	0.821977	0.212019	1.034	0.0140759	0.150143	0.164219	0.180348	0.0882679	0.268616	1.05834	0.220816	1.27915	0.164806	0.139	0.303806	1.63134	0.196183	1.82753	0.987369	0.132842	1.12021	0.490605	0.0697932	0.560399	
1.16244	0.268323	1.43076	0.921095	0.250435	1.17153	0.0287384	0.138413	0.167152	0.156008	0.234013	0.390021	1.92811	0.282399	2.21051	0.162753	0.232253	0.395006	1.63252	0.209673	1.84219	1.19646	0.192078	1.38853	0.804382	0.0662742	0.870656	
1.43311	0.273894	1.707	0.84573	0.21935	1.06508	0.0149557	0.151903	0.166859	0.174776	0.0938396	0.268616	1.07212	0.222283	1.2944	0.143399	0.132548	0.275947	1.15188	0.155715	1.3076	0.933998	0.116713	1.05071	0.56861	0.0630485	0.631658	
1.15217	0.262751	1.41493	0.826375	0.217884	1.04426	0.0152489	0.134894	0.150143	0.166859	0.0920801	0.258939	1.22842	0.225802	1.45422	0.274188	0.160407	0.434595	1.31346	0.164219	1.47768	0.946901	0.118473	1.06537	0.432249	0.0568903	0.489139	
1.9504	0.378878	2.32928	0.882679	0.251021	1.1337	0.0161287	0.139	0.155129	0.153662	0.0917869	0.245449	1.08795	0.22111	1.30906	0.137534	0.140466	0.278	1.30202	0.151903	1.45393	0.89001	0.110262	1.00027	0.413481	0.0548375	0.468318	
1.09323	0.241637	1.33487	0.809367	0.201169	1.01054	0.0140759	0.118766	0.132842	0.141639	0.0973586	0.238998	1.02227	0.211139	1.2334	0.129616	0.123165	0.252781	1.16625	0.145451	1.3117	0.885612	0.109382	0.994993	0.412894	0.0551308	0.468025	
1.48003	0.425797	1.90582	0.849249	0.210259	1.05951	0.0129029	0.140173	0.153076	0.153076	0.0868017	0.239878	1.06889	0.199996	1.26889	0.145451	0.123751	0.269202	1.15247	0.142519	1.29499	0.965375	0.104397	1.06977	0.772124	0.114074	0.886198	
2.28587	0.500576	2.78645	1.73369	0.431076	2.16476	0.0507321	0.219057	0.269789	0.338996	0.176829	0.515825	2.36329	0.454536	2.81783	0.27888	0.251901	0.53078	2.38089	0.312017	2.6929	1.43985	0.257472	1.69732	0.855407	0.116127	0.971533	
1.15687	0.249262	1.40613	1.32314	0.219643	1.54278	0.0152489	0.0929599	0.108209	0.151903	0.125217	0.27712	1.16097	0.241344	1.40232	0.12639	0.178002	0.304392	1.19587	0.145745	1.34161	1.82811	0.241051	2.06916	0.842504	0.118179	0.960683	
2.32194	0.51905	2.84099	1.50202	0.204101	1.70612	0.0158354	0.0935464	0.109382	0.148384	0.125804	0.274188	1.06009	0.2302	1.29029	0.126097	0.171844	0.297941	1.16302	0.146331	1.30936	0.982677	0.140759	1.12344	1.00584	0.067154	1.073	
