Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
2.00787	0.266856	2.27473	0.845143	0.209966	1.05511	0.0143692	0.14897	0.16334	0.163046	0.0914936	0.25454	1.05335	0.238998	1.29235	0.134015	0.129323	0.263337	1.13429	0.148677	1.28296	0.922561	0.117593	1.04015	0.398818	0.05777	0.456588	
1.0859	0.256593	1.34249	0.946607	0.241344	1.18795	0.0175949	0.148384	0.165979	0.158061	0.0944261	0.252487	1.20467	0.238411	1.44308	0.150143	0.135774	0.285918	1.26478	0.174483	1.43927	0.987955	0.124044	1.112	0.445445	0.0627553	0.5082	
1.11259	0.265683	1.37827	0.929599	0.408496	1.33809	0.0149557	0.135774	0.15073	0.161873	0.0938396	0.255713	1.16596	0.244276	1.41023	0.133721	0.12815	0.261871	1.17593	0.157475	1.3334	0.915816	0.11642	1.03224	0.401458	0.0604093	0.461867	
1.18883	0.245743	1.43457	0.846023	0.258939	1.10496	0.0164219	0.147797	0.164219	0.164219	0.0947194	0.258939	1.21376	0.252487	1.46624	0.136947	0.132842	0.269789	1.35862	0.169205	1.52783	1.90436	0.12727	2.03163	0.426677	0.061289	0.487966	
1.15657	0.239878	1.39645	0.831947	0.194424	1.02637	0.0161287	0.119352	0.135481	0.172724	0.0923734	0.265097	1.06127	0.210553	1.27182	0.139	0.136361	0.275361	1.15423	0.162753	1.31698	0.908192	0.110555	1.01875	0.40527	0.0568903	0.46216	
1.0988	0.231667	1.33047	0.850715	0.260991	1.11171	0.0143692	0.155129	0.169498	0.173603	0.0894409	0.263044	1.06479	0.205274	1.27006	0.165099	0.125804	0.290903	1.25892	0.141932	1.40085	0.928426	0.106156	1.03458	0.420226	0.0557173	0.475943	
1.19088	0.23284	1.42372	0.916696	0.193251	1.10995	0.0140759	0.147211	0.161287	0.165686	0.0897341	0.25542	1.10408	0.204394	1.30848	0.118473	0.130789	0.249262	1.16009	0.145451	1.30554	0.958337	0.112021	1.07036	0.432835	0.0630485	0.495884	
1.16508	0.253367	1.41844	0.858339	0.217884	1.07622	0.0243397	0.158648	0.182987	0.325799	0.121992	0.447791	1.85832	0.268323	2.12664	0.134894	0.180935	0.315829	1.21816	0.151023	1.36918	1.03575	0.1173	1.15305	0.421105	0.0598228	0.480928	
2.68029	0.521396	3.20169	1.20144	0.217004	1.41844	0.0161287	0.217297	0.233426	0.150143	0.157475	0.307618	1.27915	0.297061	1.57621	0.320814	0.158941	0.479755	1.37739	0.189439	1.56683	1.11112	0.145451	1.25657	0.520223	0.071846	0.592069	
1.34982	0.322867	1.67269	0.996166	0.249555	1.24572	0.0173017	0.164806	0.182108	0.217591	0.107036	0.324626	1.2639	0.261578	1.52548	0.129323	0.172724	0.302046	1.47651	0.199409	1.67592	1.09939	0.123458	1.22285	0.461574	0.0607025	0.522276	
