Using Best Grid Path: false
Using Waypoints: false
Using Best Waypoint Path: false
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0	1.44484	1.44484	0	0.266563	0.266563	0	0.0888544	0.0888544	0	0.0882679	0.0882679	0	0.783854	0.783854	0	0.133721	0.133721	0	0.678285	0.678285	0	0.219057	0.219057	0	0.0387088	0.0387088	
0	1.5419	1.5419	0	0.294129	0.294129	0	0.0885612	0.0885612	0	0.0970654	0.0970654	0	0.773297	0.773297	0	0.147504	0.147504	0	0.671247	0.671247	0	0.227561	0.227561	0	0.0627553	0.0627553	
0	1.50965	1.50965	0	0.258059	0.258059	0	0.111728	0.111728	0	0.100291	0.100291	0	0.424918	0.424918	0	0.148384	0.148384	0	0.692361	0.692361	0	0.217004	0.217004	0	0.0586498	0.0586498	
0	1.86682	1.86682	0	0.272135	0.272135	0	0.12815	0.12815	0	0.0715527	0.0715527	0	0.904673	0.904673	0	0.155715	0.155715	0	0.645441	0.645441	0	0.233719	0.233719	0	0.0296181	0.0296181	
0	1.61756	1.61756	0	0.255713	0.255713	0	0.231667	0.231667	0	0.075365	0.075365	0	0.400285	0.400285	0	0.16334	0.16334	0	0.82227	0.82227	0	0.456295	0.456295	0	0.0302046	0.0302046	
0	1.51962	1.51962	0	0.263924	0.263924	0	0.107329	0.107329	0	0.0803502	0.0803502	0	0.420519	0.420519	0	0.211432	0.211432	0	0.627553	0.627553	0	0.216711	0.216711	0	0.0381224	0.0381224	
0	1.49088	1.49088	0	0.263337	0.263337	0	0.0824029	0.0824029	0	0.064808	0.064808	0	0.459521	0.459521	0	0.125511	0.125511	0	0.772124	0.772124	0	0.237238	0.237238	0	0.0263924	0.0263924	
0	1.49205	1.49205	0	0.260112	0.260112	0	0.147504	0.147504	0	0.0604093	0.0604093	0	0.384156	0.384156	0	0.103224	0.103224	0	0.666848	0.666848	0	0.225215	0.225215	0	0.0299114	0.0299114	
0	1.41639	1.41639	0	0.263044	0.263044	0	0.0979451	0.0979451	0	0.061289	0.061289	0	0.407909	0.407909	0	0.167445	0.167445	0	0.619342	0.619342	0	0.22023	0.22023	0	0.0260991	0.0260991	
0	1.48179	1.48179	0	0.26715	0.26715	0	0.0982384	0.0982384	0	0.0604093	0.0604093	0	0.418173	0.418173	0	0.136654	0.136654	0	0.626673	0.626673	0	0.217591	0.217591	0	0.0260991	0.0260991	
0	1.48237	1.48237	0	0.264217	0.264217	0	0.129616	0.129616	0	0.0712595	0.0712595	0	0.371546	0.371546	0	0.139293	0.139293	0	0.625207	0.625207	0	0.210259	0.210259	0	0.0275654	0.0275654	
0	1.44982	1.44982	0	0.290903	0.290903	0	0.128443	0.128443	0	0.0595295	0.0595295	0	0.375652	0.375652	0	0.143985	0.143985	0	0.623154	0.623154	0	0.207913	0.207913	0	0.0281519	0.0281519	
0	1.42578	1.42578	0	0.263631	0.263631	0	0.100291	0.100291	0	0.0782974	0.0782974	0	0.378291	0.378291	0	0.139586	0.139586	0	0.627259	0.627259	0	0.209673	0.209673	0	0.0249262	0.0249262	
0	1.55774	1.55774	0	0.25454	0.25454	0	0.105863	0.105863	0	0.0642215	0.0642215	0	0.372133	0.372133	0	0.131082	0.131082	0	0.612304	0.612304	0	0.202048	0.202048	0	0.0260991	0.0260991	
0	1.45686	1.45686	0	0.280932	0.280932	0	0.103224	0.103224	0	0.0633418	0.0633418	0	0.370667	0.370667	0	0.136361	0.136361	0	0.617875	0.617875	0	0.209673	0.209673	0	0.0269789	0.0269789	
0	1.46273	1.46273	0	0.258645	0.258645	0	0.10469	0.10469	0	0.0633418	0.0633418	0	0.363922	0.363922	0	0.135188	0.135188	0	0.604679	0.604679	0	0.201462	0.201462	0	0.0378291	0.0378291	
0	1.47797	1.47797	0	0.281226	0.281226	0	0.119352	0.119352	0	0.0826962	0.0826962	0	0.395006	0.395006	0	0.178002	0.178002	0	0.621981	0.621981	0	0.213485	0.213485	0	0.0275654	0.0275654	
0	2.25684	2.25684	0	0.282105	0.282105	0	0.179762	0.179762	0	0.0733122	0.0733122	0	0.406736	0.406736	0	0.134894	0.134894	0	0.646614	0.646614	0	0.222283	0.222283	0	0.0302046	0.0302046	
0	1.46624	1.46624	0	0.440167	0.440167	0	0.121698	0.121698	0	0.074192	0.074192	0	0.416707	0.416707	0	0.141639	0.141639	0	0.629899	0.629899	0	0.223162	0.223162	0	0.0296181	0.0296181	
0	1.49528	1.49528	0	0.272428	0.272428	0	0.113781	0.113781	0	0.0926666	0.0926666	0	0.387382	0.387382	0	0.153076	0.153076	0	0.663622	0.663622	0	0.251608	0.251608	0	0.0299114	0.0299114	
0	1.52196	1.52196	0	0.271255	0.271255	0	0.122871	0.122871	0	0.0806434	0.0806434	0	0.428437	0.428437	0	0.132548	0.132548	0	0.635177	0.635177	0	0.217297	0.217297	0	0.0319641	0.0319641	
0	1.53223	1.53223	0	0.26451	0.26451	0	0.111435	0.111435	0	0.075365	0.075365	0	0.414361	0.414361	0	0.131669	0.131669	0	0.636057	0.636057	0	0.217297	0.217297	0	0.0290316	0.0290316	
0	1.41493	1.41493	0	0.273894	0.273894	0	0.0894409	0.0894409	0	0.150143	0.150143	0	0.401164	0.401164	0	0.169498	0.169498	0	0.640749	0.640749	0	0.216711	0.216711	0	0.0304979	0.0304979	
0	1.47123	1.47123	0	0.269496	0.269496	0	0.113194	0.113194	0	0.0665675	0.0665675	0	0.48738	0.48738	0	0.226975	0.226975	0	0.642801	0.642801	0	0.214951	0.214951	0	0.0296181	0.0296181	
0	1.61521	1.61521	0	0.265097	0.265097	0	0.110262	0.110262	0	0.0665675	0.0665675	0	0.39354	0.39354	0	0.133721	0.133721	0	0.634591	0.634591	0	0.219057	0.219057	0	0.0299114	0.0299114	
0	1.51668	1.51668	0	0.272721	0.272721	0	0.112901	0.112901	0	0.068327	0.068327	0	0.404097	0.404097	0	0.169498	0.169498	0	0.666848	0.666848	0	0.283865	0.283865	0	0.0284451	0.0284451	
0	1.50554	1.50554	0	0.319641	0.319641	0	0.112901	0.112901	0	0.0630485	0.0630485	0	0.388555	0.388555	0	0.153076	0.153076	0	0.621394	0.621394	0	0.214072	0.214072	0	0.0258059	0.0258059	
0	1.41669	1.41669	0	0.270082	0.270082	0	0.119646	0.119646	0	0.0592363	0.0592363	0	0.379464	0.379464	0	0.17331	0.17331	0	0.64808	0.64808	0	0.219937	0.219937	0	0.0266856	0.0266856	
0	1.49967	1.49967	0	0.287091	0.287091	0	0.0803502	0.0803502	0	0.061289	0.061289	0	0.383276	0.383276	0	0.0955991	0.0955991	0	0.62462	0.62462	0	0.212019	0.212019	0	0.0281519	0.0281519	
0	1.43868	1.43868	0	0.259525	0.259525	0	0.0803502	0.0803502	0	0.0615823	0.0615823	0	0.376238	0.376238	0	0.122578	0.122578	0	0.626086	0.626086	0	0.212019	0.212019	0	0.0249262	0.0249262	
0	1.50935	1.50935	0	0.279173	0.279173	0	0.104983	0.104983	0	0.0604093	0.0604093	0	0.378291	0.378291	0	0.118179	0.118179	0	0.625793	0.625793	0	0.209966	0.209966	0	0.0260991	0.0260991	
0	1.47446	1.47446	0	0.262751	0.262751	0	0.0738987	0.0738987	0	0.058943	0.058943	0	0.40439	0.40439	0	0.119939	0.119939	0	0.642508	0.642508	0	0.235772	0.235772	0	0.0331371	0.0331371	
0	1.56067	1.56067	0	0.32492	0.32492	0	0.114367	0.114367	0	0.0680337	0.0680337	0	0.399698	0.399698	0	0.134015	0.134015	0	0.680631	0.680631	0	0.211726	0.211726	0	0.0275654	0.0275654	
0	1.90143	1.90143	0	0.495591	0.495591	0	0.118179	0.118179	0	0.0967721	0.0967721	0	0.40615	0.40615	0	0.133721	0.133721	0	0.636057	0.636057	0	0.209673	0.209673	0	0.0284451	0.0284451	
0	1.83339	1.83339	0	0.273308	0.273308	0	0.10469	0.10469	0	0.0668607	0.0668607	0	0.384449	0.384449	0	0.131375	0.131375	0	0.614063	0.614063	0	0.202928	0.202928	0	0.0278586	0.0278586	
0	1.49616	1.49616	0	0.262458	0.262458	0	0.0768312	0.0768312	0	0.0627553	0.0627553	0	0.418466	0.418466	0	0.139586	0.139586	0	0.644268	0.644268	0	0.209966	0.209966	0	0.0266856	0.0266856	
0	1.48677	1.48677	0	0.281226	0.281226	0	0.0964789	0.0964789	0	0.0800569	0.0800569	0	0.395006	0.395006	0	0.101464	0.101464	0	0.954525	0.954525	0	0.213192	0.213192	0	0.0278586	0.0278586	
0	1.4419	1.4419	0	0.286211	0.286211	0	0.104397	0.104397	0	0.0639283	0.0639283	0	0.373892	0.373892	0	0.155129	0.155129	0	0.631365	0.631365	0	0.212019	0.212019	0	0.0252194	0.0252194	
0	1.44718	1.44718	0	0.270375	0.270375	0	0.102344	0.102344	0	0.0604093	0.0604093	0	0.380344	0.380344	0	0.149557	0.149557	0	0.63811	0.63811	0	0.226095	0.226095	0	0.0258059	0.0258059	
0	1.45188	1.45188	0	0.25542	0.25542	0	0.103517	0.103517	0	0.0609958	0.0609958	0	0.398818	0.398818	0	0.156888	0.156888	0	0.609958	0.609958	0	0.213192	0.213192	0	0.0255127	0.0255127	
0	1.51111	1.51111	0	0.261578	0.261578	0	0.103224	0.103224	0	0.0609958	0.0609958	0	0.414654	0.414654	0	0.159527	0.159527	0	0.621394	0.621394	0	0.206447	0.206447	0	0.0281519	0.0281519	
0	1.46595	1.46595	0	0.263924	0.263924	0	0.124338	0.124338	0	0.0630485	0.0630485	0	0.367441	0.367441	0	0.151023	0.151023	0	0.621981	0.621981	0	0.205567	0.205567	0	0.0258059	0.0258059	
0	1.43369	1.43369	0	0.309378	0.309378	0	0.0782974	0.0782974	0	0.0615823	0.0615823	0	0.384156	0.384156	0	0.145745	0.145745	0	0.619342	0.619342	0	0.221989	0.221989	0	0.0263924	0.0263924	
0	1.48149	1.48149	0	0.264804	0.264804	0	0.0982384	0.0982384	0	0.0598228	0.0598228	0	0.386209	0.386209	0	0.127563	0.127563	0	0.628139	0.628139	0	0.270669	0.270669	0	0.0281519	0.0281519	
0	1.47973	1.47973	0	0.25542	0.25542	0	0.0756582	0.0756582	0	0.0598228	0.0598228	0	0.390314	0.390314	0	0.151903	0.151903	0	0.731363	0.731363	0	0.240464	0.240464	0	0.0275654	0.0275654	
0	1.52812	1.52812	0	0.249555	0.249555	0	0.076538	0.076538	0	0.0607025	0.0607025	0	0.399405	0.399405	0	0.14985	0.14985	0	0.687082	0.687082	0	0.211432	0.211432	0	0.0448671	0.0448671	
0	1.69381	1.69381	0	0.26451	0.26451	0	0.126097	0.126097	0	0.0639283	0.0639283	0	0.395006	0.395006	0	0.154835	0.154835	0	0.627553	0.627553	0	0.218177	0.218177	0	0.0269789	0.0269789	
0	1.44689	1.44689	0	0.270375	0.270375	0	0.100584	0.100584	0	0.060116	0.060116	0	0.378291	0.378291	0	0.109089	0.109089	0	0.702624	0.702624	0	0.220816	0.220816	0	0.0258059	0.0258059	
0	1.57357	1.57357	0	0.298234	0.298234	0	0.132255	0.132255	0	0.0923734	0.0923734	0	0.395299	0.395299	0	0.149557	0.149557	0	0.630778	0.630778	0	0.215245	0.215245	0	0.0290316	0.0290316	
0	1.48355	1.48355	0	0.270669	0.270669	0	0.0824029	0.0824029	0	0.0662742	0.0662742	0	0.375945	0.375945	0	0.144278	0.144278	0	0.864204	0.864204	0	0.428143	0.428143	0	0.0304979	0.0304979	
0	1.62313	1.62313	0	0.275067	0.275067	0	0.120232	0.120232	0	0.0653945	0.0653945	0	0.420812	0.420812	0	0.151903	0.151903	0	0.662742	0.662742	0	0.209966	0.209966	0	0.0475063	0.0475063	
