Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
847.159	0.982677	848.141	304.85	0.339875	305.19	876.25	0.898221	877.148	884.274	0.668021	884.942	829.855	0.434888	830.29	687.965	0.747198	688.712	366.893	0.700572	367.594	202.873	0.558639	203.432	853.672	1.28795	854.96	
931.139	1.17769	932.316	363.128	0.397352	363.525	1053.21	0.938396	1054.15	835.512	0.491485	836.004	818.936	0.46128	819.397	701.044	0.832827	701.877	308.998	0.724325	309.723	218.746	1.02256	219.769	820.141	1.03429	821.175	
806.459	1.0079	807.467	330.267	0.325799	330.593	955.078	0.943088	956.021	749.721	0.879747	750.6	866.758	0.457468	867.215	702.898	0.94954	703.848	413.055	1.95744	415.013	208.18	1.13282	209.313	875.547	1.02109	876.568	
802.282	1.02344	803.305	350.002	0.34574	350.347	1009.1	0.998806	1010.1	830.613	0.489432	831.103	714.024	0.435475	714.46	697.929	0.692947	698.622	393.43	2.01491	395.445	172.816	0.482688	173.299	812.572	0.925493	813.498	
798.763	0.930185	799.693	275.11	0.308498	275.419	852.594	1.14807	853.742	733.727	0.443686	734.171	741.865	0.434008	742.299	735.239	0.754529	735.993	356.785	0.699399	357.484	215.911	0.503508	216.414	850.088	1.00731	851.095	
777.235	1.0513	778.286	275.607	0.305859	275.913	920.879	0.881799	921.761	829.68	0.479169	830.159	770.041	0.709662	770.751	693.706	0.772417	694.479	377.639	0.714061	378.353	199.121	0.516411	199.637	785.789	0.974759	786.764	
868.999	0.931358	869.931	349.24	0.333717	349.574	927.664	1.35188	929.016	775.823	0.475063	776.298	766.092	0.425211	766.518	667.51	0.766259	668.277	391.449	1.16097	392.61	167.275	0.492072	167.767	781.698	1.02461	782.723	
750.491	1.08619	751.577	302.044	0.33401	302.378	881.132	0.836932	881.969	834.585	0.443686	835.029	828.755	0.650426	829.405	679.597	0.755702	680.353	352.086	0.721685	352.808	175.283	0.463333	175.746	792.174	1.00027	793.174	
852.174	0.927546	853.102	436.953	0.344861	437.298	976.068	0.908485	976.977	817.869	0.506734	818.376	906.922	0.482688	907.405	771.866	2.27737	774.144	355.102	0.719046	355.821	212.146	1.42812	213.574	894.027	1.02696	895.054	
891.39	1.073	892.463	324.036	0.342515	324.379	885.143	0.882972	886.026	861.334	0.489726	861.824	834.903	0.432542	835.336	653.558	0.740453	654.298	416.627	0.870363	417.497	202.508	0.496764	203.004	830.767	0.963616	831.731	
790.176	1.12314	791.299	281.992	0.304686	282.296	903.409	2.52399	905.933	801.261	0.982677	802.244	846.088	0.411135	846.499	616.328	0.695	617.023	374.46	0.679751	375.14	138.696	0.457468	139.153	908.321	0.991181	909.312	
