Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
3.99728	0.863325	4.8606	0.521103	0.350139	0.871242	4.01927	0.974759	4.99403	1.86154	0.422865	2.28441	0.758048	0.343101	1.10115	2.32312	0.574475	2.89759	0.892063	0.611717	1.50378	1.35188	0.400871	1.75275	3.13864	0.823736	3.96238	
2.93953	0.803209	3.74274	0.482101	0.287677	0.769778	3.12633	0.721979	3.8483	2.13104	0.432542	2.56358	0.745439	0.346327	1.09177	2.09468	0.73928	2.83396	0.924907	0.626966	1.55187	0.770365	0.405563	1.17593	3.13982	0.794704	3.93452	
2.97999	0.790012	3.77001	0.476823	0.292956	0.769778	3.14627	0.701745	3.84801	1.82166	0.394126	2.21579	0.697639	0.331664	1.0293	2.04629	0.582979	2.62927	0.928719	0.574475	1.50319	0.780335	0.394126	1.17446	5.94591	2.42194	8.36786	
6.62596	1.90612	8.53208	0.476529	0.283865	0.760394	3.1838	0.686789	3.87059	1.75568	0.450723	2.2064	0.690015	0.323453	1.01347	2.1633	0.593536	2.75683	0.904673	0.562451	1.46712	0.885905	0.419053	1.30496	5.50428	0.885025	6.38931	
2.80111	0.802329	3.60344	0.4865	0.318468	0.804968	3.12955	0.715527	3.84508	1.82577	0.396472	2.22224	0.788839	0.359816	1.14866	2.02606	0.534593	2.56065	0.973293	0.587671	1.56096	0.772124	0.384156	1.15628	3.22075	0.777109	3.99786	
3.10492	0.906725	4.01164	0.451603	0.30234	0.753943	7.86054	1.26068	9.12121	1.82313	0.396472	2.2196	1.56214	0.841331	2.40347	2.03339	0.539578	2.57297	0.914936	0.610251	1.52519	0.780628	0.414067	1.1947	3.59611	0.766846	4.36296	
2.84451	0.869776	3.71429	0.461574	0.261578	0.723152	3.05507	0.660983	3.71605	1.8158	0.399112	2.21491	0.688548	0.329025	1.01757	2.02078	0.574181	2.59496	0.896462	0.553067	1.44953	0.773004	0.387088	1.16009	3.12985	0.765086	3.89493	
2.94363	0.806434	3.75007	0.467439	0.313776	0.781215	3.15301	0.673886	3.8269	1.82283	0.41524	2.23808	0.700572	0.350726	1.0513	2.03046	0.558053	2.58851	1.05276	0.672713	1.72548	0.779455	0.449844	1.2293	3.76561	1.93192	5.69753	
4.37087	0.946901	5.31777	0.496177	0.87916	1.37534	3.097	0.688842	3.78584	1.94307	0.440753	2.38382	0.679751	0.342515	1.02227	2.11168	0.572422	2.68411	0.895875	0.557759	1.45363	0.753356	0.418466	1.17182	3.18058	0.782388	3.96297	
6.01336	1.80319	7.81655	0.473597	0.767432	1.24103	3.18116	0.707023	3.88819	1.82254	0.395299	2.21784	0.689721	0.331958	1.02168	2.07825	0.534299	2.61255	1.27534	0.631658	1.907	0.784734	0.412894	1.19763	3.25946	0.810833	4.07029	
