Using Best Grid Path: false
Using Waypoints: false
Using Best Waypoint Path: false
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0	22.3259	22.3259	0	1.707	1.707	0	10.9514	10.9514	0	3.58819	3.58819	0	3.40022	3.40022	0	8.28311	8.28311	0	5.19285	5.19285	0	3.82514	3.82514	0	9.60742	9.60742	
0	9.9863	9.9863	0	1.79204	1.79204	0	9.23881	9.23881	0	3.06973	3.06973	0	2.21784	2.21784	0	7.17492	7.17492	0	4.41428	4.41428	0	2.67179	2.67179	0	9.69393	9.69393	
0	9.86137	9.86137	0	1.38531	1.38531	0	9.09863	9.09863	0	2.71138	2.71138	0	2.14863	2.14863	0	6.68637	6.68637	0	5.31308	5.31308	0	3.08996	3.08996	0	9.62472	9.62472	
0	9.89774	9.89774	0	1.24543	1.24543	0	9.73645	9.73645	0	2.78381	2.78381	0	2.36564	2.36564	0	6.52391	6.52391	0	4.36178	4.36178	0	2.41608	2.41608	0	9.70918	9.70918	
0	9.54408	9.54408	0	1.85509	1.85509	0	17.3958	17.3958	0	6.54678	6.54678	0	2.19409	2.19409	0	7.39486	7.39486	0	4.57908	4.57908	0	2.54012	2.54012	0	9.38983	9.38983	
0	9.22825	9.22825	0	1.8806	1.8806	0	11.3663	11.3663	0	2.95712	2.95712	0	3.29729	3.29729	0	6.58725	6.58725	0	4.58817	4.58817	0	2.58147	2.58147	0	9.79246	9.79246	
0	9.70566	9.70566	0	1.28619	1.28619	0	9.08133	9.08133	0	2.86621	2.86621	0	3.11254	3.11254	0	6.50309	6.50309	0	4.37381	4.37381	0	2.36271	2.36271	0	9.4951	9.4951	
0	9.42766	9.42766	0	1.62079	1.62079	0	9.25669	9.25669	0	2.71578	2.71578	0	2.2284	2.2284	0	6.87551	6.87551	0	4.19492	4.19492	0	6.69223	6.69223	0	11.0162	11.0162	
0	11.7103	11.7103	0	3.39494	3.39494	0	15.3064	15.3064	0	4.00813	4.00813	0	2.62135	2.62135	0	6.87493	6.87493	0	4.43451	4.43451	0	4.51486	4.51486	0	10.0405	10.0405	
0	9.56783	9.56783	0	1.43223	1.43223	0	9.53	9.53	0	3.0448	3.0448	0	2.1891	2.1891	0	10.269	10.269	0	5.17086	5.17086	0	5.799	5.799	0	9.35024	9.35024	
