Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
11.0942	0.346327	11.4405	0.502922	0.516704	1.01963	6.77053	0.193544	6.96407	13.3883	0.493538	13.8818	17.1193	0.538991	17.6583	44.0348	1.19587	45.2307	13.0381	0.67242	13.7106	0.249262	0.325213	0.574475	1.33663	0.374479	1.71111	
9.8429	0.296768	10.1397	0.51993	0.541924	1.06185	6.80748	0.179468	6.98695	17.2345	1.30202	18.5366	14.2384	0.494418	14.7328	42.8797	0.811126	43.6909	18.2923	2.50669	20.799	0.878867	0.700278	1.57915	1.44601	0.39354	1.83955	
14.2844	0.357177	14.6416	0.528728	0.531367	1.06009	8.0447	0.183867	8.22856	12.7018	0.430196	13.132	12.4458	0.530487	12.9763	43.2178	0.815525	44.0334	13.4548	0.699105	14.1539	0.249262	0.318468	0.56773	1.94219	0.568023	2.51021	
14.6111	0.46392	15.075	0.994114	0.761274	1.75539	10.1886	0.245449	10.4341	14.8135	0.728723	15.5422	18.2653	0.775643	19.0409	44.8779	0.902033	45.78	14.9803	0.699692	15.68	0.251901	0.321107	0.573008	1.40935	0.373306	1.78266	
10.0476	0.337529	10.3851	0.519344	0.496177	1.01552	6.98284	0.182108	7.16495	12.3901	0.516704	12.9068	14.6513	0.579753	15.2311	42.8935	0.828135	43.7216	13.5537	0.666261	14.2199	0.239291	0.360696	0.599987	1.45774	0.372719	1.83046	
10.0728	0.339289	10.4121	0.501749	0.495297	0.997046	7.66054	0.241637	7.90218	13.0836	0.451896	13.5355	23.1133	0.535179	23.6485	54.5566	0.910244	55.4668	13.6739	0.663622	14.3375	0.223456	0.404977	0.628432	1.42783	0.374772	1.8026	
12.9686	0.306738	13.2754	0.502629	0.53342	1.03605	6.8849	0.179175	7.06407	21.9397	0.476236	22.4159	12.6493	0.492365	13.1417	51.4766	2.91108	54.3877	27.5334	0.892356	28.4258	0.346034	0.419932	0.765966	1.84805	0.517877	2.36593	
13.8411	0.457468	14.2985	0.708196	0.721392	1.42959	9.90184	0.264804	10.1666	13.6326	0.467145	14.0997	12.6596	0.52081	13.1804	42.853	0.92432	43.7774	26.4458	0.743679	27.1894	0.285331	0.333131	0.618462	1.43839	0.446325	1.88471	
9.97046	0.298527	10.269	0.523449	0.526088	1.04954	8.9435	0.192078	9.13558	14.5	0.476823	14.9768	18.9624	0.958337	19.9207	46.2096	0.906432	47.116	14.9554	0.70585	15.6612	0.278586	0.323747	0.602333	1.36331	0.695293	2.05861	
9.87633	0.351899	10.2282	0.509667	0.51084	1.02051	6.99193	0.179468	7.1714	12.2821	0.467732	12.7499	12.9411	0.495297	13.4364	42.88	0.826082	43.7061	29.9337	0.779455	30.7131	0.245743	0.362749	0.608491	1.61463	0.381224	1.99585	
12.8537	0.317589	13.1713	0.51084	0.559226	1.07007	7.12624	0.182987	7.30923	12.9595	0.432835	13.3924	12.8082	0.497937	13.3062	42.997	0.872122	43.8691	13.3947	0.709076	14.1038	0.57858	0.325799	0.904379	1.40525	0.378291	1.78354	
16.7674	0.59031	17.3577	0.899981	0.90086	1.80084	9.72443	0.20762	9.93205	12.7384	0.506734	13.2452	16.8108	1.06508	17.8759	48.5119	0.924614	49.4365	14.663	0.663915	15.3269	0.328732	0.408789	0.737521	1.41082	0.413774	1.82459	
10.1966	0.350432	10.547	0.50996	0.565091	1.07505	7.42125	0.196183	7.61743	12.5021	0.429316	12.9314	12.8713	0.539871	13.4111	42.978	0.850128	43.8281	13.1862	1.94805	15.1343	0.257179	0.670367	0.927546	1.41786	0.390607	1.80847	
20.9591	0.344861	21.3039	0.49823	0.527261	1.02549	7.78136	0.227268	8.00863	14.7686	0.436941	15.2055	14.4114	0.499989	14.9114	53.9032	0.860392	54.7636	13.6971	0.680337	14.3774	0.223162	0.399991	0.623154	1.40525	0.375359	1.78061	
10.0042	0.297941	10.3021	0.523156	0.511426	1.03458	6.98841	0.205861	7.19427	12.4382	0.426677	12.8648	17.5571	0.931652	18.4888	50.2112	1.39557	51.6068	14.3346	0.938983	15.2736	0.226388	0.392367	0.618755	1.4117	0.373892	1.78559	
10.4068	0.344567	10.7514	0.516411	0.519637	1.03605	10.8309	0.182987	11.0138	27.8815	0.807021	28.6885	12.5247	0.519344	13.044	51.3282	0.86743	52.1957	13.1994	1.02373	14.2232	0.273894	0.309671	0.583565	1.41815	0.389141	1.80729	
10.2822	0.323747	10.6059	0.635177	0.531367	1.16654	8.86697	0.467439	9.3344	13.1941	0.565677	13.7598	12.4129	1.15393	13.5669	49.24	0.826375	50.0664	13.2493	0.643388	13.8927	0.235772	0.446325	0.682097	1.44836	0.374479	1.82283	
