Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
3.93628	0.339289	4.27557	41.3713	0.904086	42.2753	0.0472131	0.231373	0.278586	20.9174	0.477116	21.3946	23.6508	0.60204	24.2529	59.6943	0.883266	60.5776	35.023	1.56624	36.5892	7.22565	0.309671	7.53532	5.58727	0.323747	5.91102	
2.53895	0.373013	2.91196	84.0912	0.977692	85.0689	0.0700865	0.346913	0.417	25.9015	0.455122	26.3566	23.6247	0.604679	24.2294	44.9031	0.901154	45.8043	37.4617	1.96008	39.4217	6.13565	0.940156	7.0758	6.5371	0.384156	6.92126	
2.59906	0.351312	2.95038	38.6939	0.610251	39.3041	0.0434008	0.246916	0.290316	19.9606	0.52169	20.4823	23.4977	0.601747	24.0995	45.4744	0.888251	46.3626	36.5658	0.70585	37.2716	4.69638	0.316416	5.0128	15.0152	0.349259	15.3645	
2.67032	0.324626	2.99495	37.8338	0.627846	38.4616	0.0442806	0.241051	0.285331	19.5318	0.437527	19.9694	23.5285	0.575941	24.1045	61.7823	0.874175	62.6564	43.5527	1.28296	44.8357	4.59316	0.343394	4.93655	5.76087	0.355124	6.116	
2.73367	0.395593	3.12926	48.7045	0.636057	49.3406	0.0442806	0.219937	0.264217	44.3193	0.559226	44.8785	27.4551	0.585325	28.0405	53.0109	1.45363	54.4645	41.9076	0.737228	42.6448	4.487	0.347793	4.83479	6.07524	0.377998	6.45323	
3.13747	0.401458	3.53893	41.3874	0.902327	42.2897	0.0472131	0.234599	0.281812	20.199	0.492365	20.6913	23.5948	0.595295	24.1901	44.9377	2.1284	47.0661	43.2727	0.702624	43.9753	7.45204	0.954525	8.40656	12.627	0.409962	13.037	
2.8149	0.599987	3.41488	52.493	0.620515	53.1135	0.0460401	0.26451	0.310551	20.9711	0.499989	21.4711	26.4944	0.838105	27.3326	50.8995	1.051	51.9505	48.1796	1.0293	49.2089	4.17352	0.31143	4.48495	5.77319	0.323453	6.09664	
3.32574	0.469491	3.79523	39.0546	0.586204	39.6408	0.0434008	0.39178	0.435181	19.3031	0.479462	19.7826	23.2757	0.552188	23.8279	76.8124	1.00848	77.8209	36.8643	0.702038	37.5664	4.10871	0.330785	4.43949	5.86322	0.346034	6.20925	
2.54863	0.319348	2.86797	52.6543	0.567143	53.2214	0.0395886	0.180348	0.219937	29.3205	1.38531	30.7058	50.3541	0.590603	50.9447	44.6014	0.86919	45.4706	35.1289	0.677112	35.806	4.27733	0.31143	4.58876	5.62041	0.324333	5.94474	
2.58821	0.40527	2.99348	37.7001	0.557759	38.2578	0.0404683	0.238998	0.279466	19.9107	0.912884	20.8236	25.4091	0.560105	25.9692	44.7647	0.955112	45.7198	35.435	0.729603	36.1646	4.30137	0.310551	4.61192	5.7726	0.695	6.4676	
