Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0.311724	0.353072	0.664795	0.409962	0.462747	0.872709	0.171844	0.192664	0.364508	0.200582	0.479755	0.680337	0.255127	0.53078	0.785907	0.592949	0.789426	1.38238	0.328732	0.816991	1.14572	0.113194	0.388261	0.501456	0.0621688	0.352192	0.414361	
0.346913	0.332251	0.679164	0.492072	0.454829	0.946901	0.197063	0.216711	0.413774	0.278586	0.474477	0.753063	0.281226	0.516118	0.797344	0.784441	0.77535	1.55979	0.345447	0.603213	0.94866	0.120819	0.315829	0.436648	0.064808	0.408202	0.47301	
0.326093	0.327852	0.653945	0.408789	0.497937	0.906725	0.297354	0.198236	0.495591	0.252487	0.482394	0.734882	0.27888	0.543977	0.822856	0.58943	0.788546	1.37798	0.497937	0.594709	1.09265	0.192958	0.522569	0.715527	0.0621688	0.402044	0.464213	
0.468612	0.331958	0.800569	0.440753	0.48562	0.926373	0.217004	0.191198	0.408202	0.275067	0.476529	0.751597	0.309964	0.496764	0.806728	0.665675	0.780042	1.44572	0.346034	0.620808	0.966841	0.0914936	0.389434	0.480928	0.0665675	0.351899	0.418466	
0.284451	0.33577	0.620221	0.420812	0.458055	0.878867	0.245743	0.193251	0.438994	0.242224	0.505268	0.747491	0.338116	0.872415	1.21053	0.819924	0.941915	1.76184	0.39178	0.910244	1.30202	0.187093	0.560399	0.747491	0.075365	0.418173	0.493538	
0.282105	0.33489	0.616996	0.413481	0.485034	0.898514	0.180348	0.193251	0.373599	0.508494	0.524036	1.03253	0.348673	0.518171	0.866844	0.634591	0.846316	1.48091	0.345447	0.593242	0.93869	0.109382	0.319641	0.429023	0.0627553	0.345154	0.407909	
0.269789	0.339875	0.609664	0.410255	0.643681	1.05394	0.40527	0.202342	0.607612	0.277413	0.502042	0.779455	0.283865	0.618755	0.90262	0.60204	0.767726	1.36977	0.339875	0.650426	0.990301	0.105863	0.309378	0.41524	0.0604093	0.321987	0.382397	
0.28973	0.325799	0.615529	0.422278	0.455709	0.877987	0.158941	0.187973	0.346913	0.202635	0.458934	0.661569	0.412308	0.816991	1.2293	0.680631	0.814939	1.49557	0.33489	0.577407	0.912297	0.0876814	0.348966	0.436648	0.063635	0.343394	0.407029	
0.301753	0.331371	0.633124	0.409082	0.447791	0.856873	0.177122	0.191198	0.368321	0.22023	0.469198	0.689428	0.239584	0.4865	0.726084	0.586498	0.733415	1.31991	0.332251	0.638403	0.970654	0.118473	0.307032	0.425504	0.060116	0.360403	0.420519	
0.281519	0.351019	0.632538	0.499696	0.459228	0.958924	0.240757	0.190025	0.430783	0.272428	0.547496	0.819924	0.252194	0.494711	0.746905	0.58855	0.736641	1.32519	0.320228	0.56773	0.887958	0.0988249	0.306738	0.405563	0.063635	0.553361	0.616996	
0.299114	0.336356	0.63547	0.420226	0.482981	0.903206	0.258939	0.191198	0.450137	0.220816	0.491192	0.712008	0.262458	0.597934	0.860392	0.594415	0.782095	1.37651	0.338409	0.599694	0.938103	0.0891477	0.399405	0.488553	0.0700865	0.387382	0.457468	
0.35835	0.32316	0.68151	0.472717	1.12578	1.5985	0.2302	0.256886	0.487086	0.218177	0.486793	0.70497	0.341342	0.53166	0.873002	0.588257	0.788839	1.3771	0.399991	0.606439	1.00643	0.134894	0.333717	0.468612	0.076538	0.388261	0.464799	
0.331664	0.329905	0.661569	0.464213	0.444565	0.908778	0.180641	0.19589	0.376532	0.222869	0.486793	0.709662	0.265977	0.507614	0.77359	0.607318	0.792065	1.39938	0.408202	0.585618	0.99382	0.0891477	0.343688	0.432835	0.062462	0.423745	0.486207	
