Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0.413188	8.65671	9.06989	0.733709	1.34748	2.08119	0.0390021	0.227268	0.26627	0.393247	0.55512	0.948367	0.486793	1.24924	1.73603	0.536352	1.70407	2.24042	0.77359	1.43164	2.20523	0.28797	0.317002	0.604972	0.478582	0.464213	0.942795	
0.239584	6.84853	7.08812	0.807021	1.37182	2.17884	0.0504388	0.338409	0.388848	0.315536	0.50996	0.825496	0.383863	0.807901	1.19176	0.519637	1.74806	2.26769	0.619342	1.42196	2.04131	0.35747	0.529607	0.887078	0.306738	0.47477	0.781508	
0.21935	6.75939	6.97874	0.812886	1.4032	2.21608	0.0378291	0.277707	0.315536	0.341928	0.511133	0.853061	0.782681	1.1032	1.88588	1.07916	2.26417	3.34333	0.634004	1.45012	2.08412	0.30058	0.302926	0.603506	0.310551	0.401458	0.712008	
0.206447	6.68959	6.89604	0.687962	1.82547	2.51344	0.0387088	0.192371	0.23108	0.293542	0.460694	0.754236	0.511133	0.800276	1.31141	0.543977	1.66096	2.20494	0.611131	1.41141	2.02254	0.257766	0.283572	0.541337	0.307032	0.411135	0.718166	
0.214658	7.10747	7.32213	0.698812	1.82166	2.52047	0.0595295	0.438407	0.497937	0.381224	0.61289	0.994114	0.426384	0.887078	1.31346	0.548962	1.66829	2.21725	0.631951	1.60935	2.2413	0.303513	0.297061	0.600574	0.735175	0.565091	1.30027	
0.278293	7.52535	7.80365	0.726377	1.37827	2.10465	0.0387088	0.237532	0.27624	0.307032	0.482101	0.789133	0.592363	0.834293	1.42666	0.547202	1.57416	2.12136	0.647787	1.39586	2.04365	0.30146	0.288557	0.590017	0.344274	0.432835	0.777109	
0.224629	6.74502	6.96965	0.700572	1.33311	2.03368	0.0463333	0.452776	0.49911	0.337823	0.526675	0.864498	0.389434	0.814059	1.20349	0.556293	1.69791	2.2542	0.622861	1.84952	2.47238	0.359816	0.297061	0.656877	0.299407	0.415534	0.714941	
0.22111	6.66085	6.88196	0.698812	1.36566	2.06447	0.0351899	0.24369	0.27888	0.498816	0.618169	1.11698	0.406736	0.814352	1.22109	0.529607	1.6117	2.1413	0.629019	1.43105	2.06007	0.271842	0.282692	0.554534	0.320814	0.397939	0.718753	
0.236945	6.8978	7.13474	0.724325	1.2859	2.01022	0.0354831	0.228734	0.264217	0.318762	0.468905	0.787666	0.40351	0.77447	1.17798	1.09939	3.88995	4.98934	0.611131	1.42666	2.03779	0.278	0.303806	0.581806	0.287677	0.42873	0.716407	
0.214951	6.96701	7.18196	1.39088	1.39264	2.78352	0.0369494	0.251608	0.288557	0.310257	0.475356	0.785614	0.438114	0.803502	1.24162	0.562158	1.61639	2.17855	0.647787	1.47915	2.12693	0.27712	0.299407	0.576527	0.303513	0.395299	0.698812	
