Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0.221403	0.330785	0.552188	0.719633	0.990301	1.70993	0.0395886	0.244863	0.284451	0.303219	0.472717	0.775936	0.399991	0.548669	0.94866	0.529314	1.28795	1.81726	0.640162	1.02432	1.66448	0.426384	0.314949	0.741333	0.311137	0.41612	0.727257	
0.215538	0.31143	0.526968	0.897341	0.963909	1.86125	0.0387088	0.331958	0.370667	0.378584	0.488846	0.86743	0.387675	0.62638	1.01405	0.948953	1.33018	2.27913	0.645441	1.08062	1.72606	0.265683	0.31407	0.579753	0.551894	0.53254	1.08443	
0.574768	0.443392	1.01816	0.892063	1.09382	1.98588	0.0401751	0.250141	0.290316	0.652479	0.70409	1.35657	0.396766	0.536939	0.933704	0.531074	1.32548	1.85656	0.921974	1.28296	2.20494	0.502922	0.331371	0.834293	0.889717	0.76362	1.65334	
0.517291	0.610837	1.12813	1.29821	0.977105	2.27532	0.0906139	0.416413	0.507027	0.332837	0.551015	0.883852	0.423745	0.546323	0.970067	0.566264	1.76243	2.32869	1.15335	1.46976	2.62311	0.312897	0.310551	0.623447	0.305272	0.411135	0.716407	
0.218764	0.316416	0.535179	0.686202	0.935171	1.62137	0.0375359	0.292369	0.329905	0.303806	0.473304	0.777109	0.386502	0.509373	0.895875	0.706436	1.28238	1.98881	0.625793	1.06919	1.69498	0.278293	0.308205	0.586498	0.331664	0.424624	0.756289	
0.225215	0.313483	0.538698	0.785614	1.10643	1.89204	0.0416413	0.19765	0.239291	0.305272	0.476529	0.781801	0.383863	0.508787	0.89265	0.521983	1.26009	1.78207	0.689428	1.04895	1.73838	0.278586	0.296768	0.575354	0.31319	0.42961	0.742799	
0.229321	0.397939	0.627259	0.732536	0.948074	1.68061	0.0360696	0.253367	0.289437	0.312017	0.470371	0.782388	0.389728	0.501749	0.891477	0.548669	1.23868	1.78735	0.631072	0.991181	1.62225	0.284745	0.305272	0.590017	0.312897	0.408202	0.721099	
0.22023	0.294715	0.514945	0.715527	0.951006	1.66653	0.0360696	0.240171	0.27624	0.342808	0.466559	0.809367	0.398525	0.547789	0.946314	0.561572	1.15188	1.71345	0.622274	1.0557	1.67797	0.285918	0.297941	0.583858	0.331371	0.402337	0.733709	
0.35923	0.372719	0.731949	1.08209	0.933118	2.01521	0.0366561	0.447791	0.484447	0.337236	0.459521	0.796757	0.401458	0.586204	0.987662	0.78532	1.25335	2.03867	0.652185	1.01288	1.66507	0.280639	0.298527	0.579166	0.353072	0.443392	0.796464	
0.238118	0.295595	0.533713	0.699399	0.951299	1.6507	0.0375359	0.224335	0.261871	0.290316	0.504095	0.794411	0.420812	0.501162	0.921974	0.517584	1.23898	1.75656	0.631658	1.08004	1.71169	0.285038	0.295888	0.580926	0.317002	0.410255	0.727257	
