Using Best Grid Path: false
Using Waypoints: false
Using Best Waypoint Path: false
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0	33.2213	33.2213	0	70.0909	70.0909	0	0.285038	0.285038	0	20.7998	20.7998	0	28.3539	28.3539	0	37.5508	37.5508	0	49.2881	49.2881	0	3.1407	3.1407	0	9.66226	9.66226	
0	30.7322	30.7322	0	68.793	68.793	0	0.153956	0.153956	0	31.897	31.897	0	29.1956	29.1956	0	41.1176	41.1176	0	56.3126	56.3126	0	2.83689	2.83689	0	5.19461	5.19461	
0	30.5979	30.5979	0	103.629	103.629	0	0.218177	0.218177	0	28.1413	28.1413	0	28.624	28.624	0	35.9535	35.9535	0	50.6297	50.6297	0	5.40516	5.40516	0	11.0273	11.0273	
0	32.9758	32.9758	0	69.1387	69.1387	0	0.146918	0.146918	0	25.7936	25.7936	0	39.4575	39.4575	0	47.3151	47.3151	0	49.3415	49.3415	0	3.14333	3.14333	0	5.4644	5.4644	
0	33.1254	33.1254	0	73.7195	73.7195	0	0.237238	0.237238	0	22.369	22.369	0	28.3941	28.3941	0	38.2854	38.2854	0	51.625	51.625	0	2.8756	2.8756	0	5.22247	5.22247	
0	36.7007	36.7007	0	90.1192	90.1192	0	0.204101	0.204101	0	26.3988	26.3988	0	29.6111	29.6111	0	38.9672	38.9672	0	48.2908	48.2908	0	2.93571	2.93571	0	5.57525	5.57525	
0	31.4416	31.4416	0	67.9182	67.9182	0	0.216124	0.216124	0	20.9564	20.9564	0	35.028	35.028	0	44.6067	44.6067	0	50.4019	50.4019	0	3.64508	3.64508	0	5.34945	5.34945	
0	38.4569	38.4569	0	77.4212	77.4212	0	0.476823	0.476823	0	22.8934	22.8934	0	27.8328	27.8328	0	43.4885	43.4885	0	51.4561	51.4561	0	4.12161	4.12161	0	5.90867	5.90867	
0	83.5384	83.5384	0	83.522	83.522	0	0.158354	0.158354	0	21.825	21.825	0	43.2677	43.2677	0	51.1458	51.1458	0	57.6386	57.6386	0	2.99642	2.99642	0	7.94646	7.94646	
0	36.1077	36.1077	0	93.1663	93.1663	0	0.219937	0.219937	0	22.4174	22.4174	0	33.023	33.023	0	59.9738	59.9738	0	58.4943	58.4943	0	2.86064	2.86064	0	5.17907	5.17907	
0	31.7996	31.7996	0	66.6335	66.6335	0	0.147797	0.147797	0	21.5808	21.5808	0	27.1167	27.1167	0	50.3989	50.3989	0	52.1479	52.1479	0	4.64946	4.64946	0	11.6282	11.6282	
0	39.1769	39.1769	0	70.7533	70.7533	0	0.206154	0.206154	0	25.0748	25.0748	0	30.6759	30.6759	0	37.0587	37.0587	0	46.3638	46.3638	0	3.25037	3.25037	0	4.79315	4.79315	
0	32.7797	32.7797	0	84.8601	84.8601	0	0.17507	0.17507	0	31.8404	31.8404	0	29.7876	29.7876	0	38.3775	38.3775	0	62.5488	62.5488	0	4.61896	4.61896	0	4.87262	4.87262	
0	32.7665	32.7665	0	73.3146	73.3146	0	0.191492	0.191492	0	52.2344	52.2344	0	41.734	41.734	0	36.8643	36.8643	0	53.3678	53.3678	0	3.42603	3.42603	0	4.82776	4.82776	
0	30.9477	30.9477	0	112.539	112.539	0	0.385915	0.385915	0	33.8746	33.8746	0	28.6164	28.6164	0	35.6925	35.6925	0	58.3228	58.3228	0	3.35975	3.35975	0	7.40248	7.40248	
0	34.9377	34.9377	0	116.007	116.007	0	0.254247	0.254247	0	21.8221	21.8221	0	28.1167	28.1167	0	41.2889	41.2889	0	46.0345	46.0345	0	3.49347	3.49347	0	4.66559	4.66559	
0	32.6448	32.6448	0	109.063	109.063	0	0.212019	0.212019	0	21.1168	21.1168	0	28.763	28.763	0	36.1532	36.1532	0	53.2185	53.2185	0	8.49043	8.49043	0	7.29896	7.29896	
0	38.3024	38.3024	0	67.5074	67.5074	0	0.450723	0.450723	0	22.0966	22.0966	0	36.8106	36.8106	0	46.0474	46.0474	0	50.5922	50.5922	0	3.33776	3.33776	0	5.18552	5.18552	
0	31.9122	31.9122	0	78.7989	78.7989	0	1.02432	1.02432	0	23.8485	23.8485	0	31.0894	31.0894	0	41.8419	41.8419	0	50.542	50.542	0	2.87882	2.87882	0	8.04294	8.04294	
0	40.9982	40.9982	0	69.556	69.556	0	0.221696	0.221696	0	20.899	20.899	0	37.5523	37.5523	0	38.5493	38.5493	0	48.7224	48.7224	0	2.77531	2.77531	0	4.96558	4.96558	
0	32.831	32.831	0	69.6985	69.6985	0	0.148677	0.148677	0	31.0193	31.0193	0	36.9728	36.9728	0	41.9393	41.9393	0	56.7683	56.7683	0	7.70629	7.70629	0	6.28256	6.28256	
