Using Best Grid Path: false
Using Waypoints: false
Using Best Waypoint Path: false
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0	5.57965	5.57965	0	2.00758	2.00758	0	0.0797637	0.0797637	0	0.0803502	0.0803502	0	2.75331	2.75331	0	0.201755	0.201755	0	3.24245	3.24245	0	0.378291	0.378291	0	0.0290316	0.0290316	
0	5.65061	5.65061	0	2.05274	2.05274	0	0.112021	0.112021	0	0.12815	0.12815	0	3.12721	3.12721	0	0.207034	0.207034	0	2.98205	2.98205	0	0.384742	0.384742	0	0.0304979	0.0304979	
0	5.88873	5.88873	0	2.06623	2.06623	0	0.118179	0.118179	0	0.109382	0.109382	0	2.99407	2.99407	0	0.266563	0.266563	0	3.40227	3.40227	0	0.393247	0.393247	0	0.0284451	0.0284451	
0	5.17144	5.17144	0	1.95656	1.95656	0	0.122871	0.122871	0	0.113194	0.113194	0	2.66065	2.66065	0	0.199996	0.199996	0	3.62456	3.62456	0	0.380344	0.380344	0	0.0290316	0.0290316	
0	5.43038	5.43038	0	2.01022	2.01022	0	0.10557	0.10557	0	0.0882679	0.0882679	0	2.64129	2.64129	0	0.20674	0.20674	0	2.91519	2.91519	0	0.412308	0.412308	0	0.0299114	0.0299114	
0	5.08845	5.08845	0	1.94072	1.94072	0	0.107622	0.107622	0	0.0970654	0.0970654	0	2.65361	2.65361	0	0.202048	0.202048	0	3.35477	3.35477	0	0.379757	0.379757	0	0.0269789	0.0269789	
0	4.9952	4.9952	0	1.97943	1.97943	0	0.0788839	0.0788839	0	0.0777109	0.0777109	0	2.64569	2.64569	0	0.202928	0.202928	0	2.75713	2.75713	0	0.473597	0.473597	0	0.0466266	0.0466266	
0	5.29226	5.29226	0	2.04629	2.04629	0	0.108795	0.108795	0	0.103517	0.103517	0	2.67854	2.67854	0	0.232253	0.232253	0	4.46999	4.46999	0	0.491778	0.491778	0	0.0340169	0.0340169	
0	5.3993	5.3993	0	2.0328	2.0328	0	0.0747785	0.0747785	0	0.0935464	0.0935464	0	2.75947	2.75947	0	0.203808	0.203808	0	2.85536	2.85536	0	0.359523	0.359523	0	0.0252194	0.0252194	
0	5.27731	5.27731	0	1.985	1.985	0	0.0774177	0.0774177	0	0.0862152	0.0862152	0	2.58733	2.58733	0	0.240757	0.240757	0	3.50931	3.50931	0	0.439287	0.439287	0	0.0445738	0.0445738	
0	6.4459	6.4459	0	1.95421	1.95421	0	0.0797637	0.0797637	0	0.0914936	0.0914936	0	4.22542	4.22542	0	0.218177	0.218177	0	2.92926	2.92926	0	0.36011	0.36011	0	0.0266856	0.0266856	
0	11.9974	11.9974	0	2.18676	2.18676	0	0.11554	0.11554	0	0.075365	0.075365	0	3.13571	3.13571	0	0.413188	0.413188	0	4.32395	4.32395	0	0.387968	0.387968	0	0.0258059	0.0258059	
0	5.60897	5.60897	0	2.25391	2.25391	0	0.0747785	0.0747785	0	0.071846	0.071846	0	2.73279	2.73279	0	0.200875	0.200875	0	2.94744	2.94744	0	0.35923	0.35923	0	0.0252194	0.0252194	
0	4.97673	4.97673	0	2.38675	2.38675	0	0.105863	0.105863	0	0.0964789	0.0964789	0	2.62311	2.62311	0	0.246622	0.246622	0	3.38878	3.38878	0	0.358937	0.358937	0	0.0381224	0.0381224	
0	7.95379	7.95379	0	1.98617	1.98617	0	0.0815232	0.0815232	0	0.0815232	0.0815232	0	3.22867	3.22867	0	0.320521	0.320521	0	3.49611	3.49611	0	0.410842	0.410842	0	0.0296181	0.0296181	
0	8.10569	8.10569	0	3.1536	3.1536	0	0.173897	0.173897	0	0.110555	0.110555	0	2.87296	2.87296	0	0.396766	0.396766	0	2.94686	2.94686	0	0.363335	0.363335	0	0.0313776	0.0313776	
0	5.48053	5.48053	0	2.86797	2.86797	0	0.16158	0.16158	0	0.0988249	0.0988249	0	2.68704	2.68704	0	0.221696	0.221696	0	2.97061	2.97061	0	0.445445	0.445445	0	0.0390021	0.0390021	
0	5.25649	5.25649	0	2.03104	2.03104	0	0.0812299	0.0812299	0	0.140466	0.140466	0	2.67384	2.67384	0	0.222576	0.222576	0	3.10463	3.10463	0	0.376825	0.376825	0	0.0296181	0.0296181	
0	5.66997	5.66997	0	2.35508	2.35508	0	0.113194	0.113194	0	0.106449	0.106449	0	2.74628	2.74628	0	0.209966	0.209966	0	2.95771	2.95771	0	0.376532	0.376532	0	0.0293249	0.0293249	
