Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
10.2675	0.321694	10.5892	1.04514	0.160407	1.20555	0.0164219	0.133135	0.149557	0.163926	0.125217	0.289143	0.447791	0.23108	0.678871	0.115247	0.186506	0.301753	3.46737	0.158354	3.62573	0.210259	0.0894409	0.2997	0.192958	0.058943	0.251901	
10.6804	0.257179	10.9376	1.01904	0.182108	1.20115	0.0164219	0.131375	0.147797	0.354831	0.0932531	0.448084	0.483861	0.216124	0.699985	0.0445738	0.175949	0.220523	3.62397	0.158941	3.78291	0.220816	0.0900274	0.310844	0.187386	0.0563038	0.24369	
11.8968	0.291196	12.188	0.996753	0.158648	1.1554	0.0170084	0.140466	0.157475	0.165979	0.107329	0.273308	0.438994	0.219937	0.65893	0.0472131	0.169205	0.216418	3.52632	0.154249	3.68057	0.361576	0.119939	0.481515	0.334304	0.076538	0.410842	
11.5188	0.33401	11.8528	1.2727	0.18416	1.45686	0.0196477	0.13724	0.156888	0.207327	0.0982384	0.305565	0.419053	0.219643	0.638696	0.0460401	0.214072	0.260112	3.4489	0.142812	3.59171	0.192371	0.0868017	0.279173	0.187093	0.0583565	0.245449	
10.1951	0.257179	10.4523	1.01083	0.196183	1.20701	0.0167152	0.155129	0.171844	0.175363	0.11642	0.291783	0.465386	0.20762	0.673006	0.0445738	0.173017	0.217591	3.38233	0.147504	3.52984	0.219057	0.0947194	0.313776	0.209966	0.062462	0.272428	
9.98248	0.26715	10.2496	0.964789	0.16158	1.12637	0.0167152	0.141639	0.158354	0.163926	0.0950126	0.258939	0.403217	0.20762	0.610837	0.0439873	0.168032	0.212019	3.53189	0.16246	3.69435	0.202928	0.0853354	0.288264	0.186506	0.0563038	0.24281	
10.0757	0.269202	10.3449	0.985609	0.156595	1.1422	0.0155422	0.168032	0.183574	0.175363	0.0935464	0.268909	0.417	0.217004	0.634004	0.0598228	0.180641	0.240464	3.45711	0.147797	3.60491	0.214072	0.0800569	0.294129	0.195304	0.0568903	0.252194	
10.1071	0.435475	10.5426	1.04309	0.147211	1.1903	0.0152489	0.139586	0.154835	0.174776	0.107916	0.282692	0.456588	0.207327	0.663915	0.0419346	0.188852	0.230787	3.55476	0.166859	3.72162	0.191785	0.0935464	0.285331	0.184747	0.0700865	0.254833	
10.0719	0.256006	10.3279	0.997339	0.172137	1.16948	0.0158354	0.0912004	0.107036	0.161873	0.0885612	0.250435	0.409669	0.225802	0.63547	0.0445738	0.119059	0.163633	3.53453	0.135481	3.67001	0.190612	0.122871	0.313483	0.181814	0.0832827	0.265097	
10.2599	0.236065	10.496	1.01054	0.159821	1.17036	0.0205274	0.236065	0.256593	0.170378	0.153956	0.324333	0.480048	0.229907	0.709955	0.0416413	0.115247	0.156888	8.25437	0.373599	8.62797	0.49823	0.198823	0.697053	0.470958	0.129323	0.60028	
12.5255	0.255127	12.7807	2.30845	0.365388	2.67384	0.0299114	0.147797	0.177709	0.171844	0.130202	0.302046	0.450723	0.226681	0.677405	0.0583565	0.118473	0.176829	3.4316	0.161287	3.59288	0.191785	0.141639	0.333424	0.173603	0.0958924	0.269496	
19.7063	0.595588	20.3019	2.31403	0.36011	2.67414	0.0466266	0.252781	0.299407	0.188852	0.10469	0.293542	0.491485	0.216418	0.707903	0.0413481	0.166859	0.208207	3.61781	0.140759	3.75857	0.199116	0.0879747	0.287091	0.188852	0.0662742	0.255127	
11.2707	0.28885	11.5596	1.07534	0.181228	1.25657	0.0173017	0.13988	0.157181	0.199996	0.101171	0.301167	0.412015	0.194424	0.606439	0.0422278	0.295888	0.338116	3.42837	0.140173	3.56855	0.397059	0.210259	0.607318	0.472424	0.129029	0.601453	
10.8458	0.306152	11.152	0.99646	0.145451	1.14191	0.0152489	0.133135	0.148384	0.178882	0.112314	0.291196	0.454242	0.206447	0.66069	0.0407616	0.188266	0.229027	3.45564	0.142812	3.59846	0.212605	0.0844557	0.297061	0.201169	0.0524915	0.25366	
10.1039	0.243397	10.3473	0.965375	0.143399	1.10877	0.0143692	0.166859	0.181228	0.171844	0.0914936	0.263337	0.41612	0.278293	0.694413	0.0448671	0.167738	0.212605	3.31899	0.138413	3.4574	0.205567	0.0824029	0.28797	0.19589	0.0527848	0.248675	
9.88073	0.39354	10.2743	1.00174	0.150437	1.15217	0.0146624	0.129909	0.144572	0.173897	0.140173	0.31407	0.433422	0.215245	0.648666	0.0416413	0.170671	0.212312	3.46444	0.166272	3.63071	0.192664	0.101171	0.293835	0.274481	0.064808	0.339289	
9.71797	0.270082	9.98806	0.998806	0.144572	1.14338	0.0143692	0.0888544	0.103224	0.161287	0.148677	0.309964	0.427264	0.217297	0.644561	0.0416413	0.11642	0.158061	3.66063	0.264217	3.92484	0.20674	0.120525	0.327266	0.188852	0.0736055	0.262458	
12.9381	0.331371	13.2695	1.90905	0.166859	2.07591	0.0255127	0.235772	0.261285	0.353658	0.274774	0.628432	0.872709	0.423745	1.29645	0.0914936	0.191492	0.282985	3.46913	0.145745	3.61488	0.202635	0.0873882	0.290023	0.181228	0.056597	0.237825	
14.3185	0.251608	14.5701	1.16537	0.155129	1.3205	0.0152489	0.156595	0.171844	0.170671	0.0988249	0.269496	0.41788	0.209086	0.626966	0.0428143	0.160114	0.202928	3.414	0.140466	3.55447	0.214365	0.0809367	0.295302	0.186213	0.0533713	0.239584	
9.99832	0.239291	10.2376	1.00027	0.143692	1.14396	0.0146624	0.145745	0.160407	0.183281	0.103224	0.286504	0.446325	0.204688	0.651012	0.0407616	0.215538	0.256299	3.5096	0.162753	3.67236	0.220816	0.122578	0.343394	0.182694	0.0797637	0.262458	
10.0804	0.236359	10.3168	1.0557	0.149264	1.20496	0.0158354	0.0914936	0.107329	0.160407	0.132548	0.292956	0.426384	0.212899	0.639283	0.0434008	0.119352	0.162753	3.41254	0.149264	3.5618	0.223456	0.0868017	0.310257	0.183867	0.0935464	0.277413	
10.076	0.273308	10.3493	1.00027	0.146331	1.1466	0.0149557	0.0953059	0.110262	0.16246	0.0929599	0.25542	0.424918	0.218764	0.643681	0.0445738	0.122285	0.166859	4.19111	0.152489	4.3436	0.194424	0.128443	0.322867	0.182987	0.0806434	0.263631	
24.1792	0.591776	24.771	2.29291	0.342515	2.63543	0.0175949	0.0967721	0.114367	0.441046	0.212605	0.653652	1.01171	0.467145	1.47885	0.134308	0.31231	0.446618	8.26815	0.35747	8.62562	0.622274	0.194131	0.816405	0.460107	0.123458	0.583565	
12.3411	0.40351	12.7446	1.71844	0.193251	1.91169	0.0299114	0.194717	0.224629	0.320228	0.107329	0.427557	0.424038	0.222576	0.646614	0.0917869	0.246036	0.337823	3.56796	0.170378	3.73834	0.202635	0.0891477	0.291783	0.193544	0.055424	0.248968	
