Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
226.571	0.948953	227.52	1.2771	0.283278	1.56038	238.303	0.78708	239.09	20.7512	0.348966	21.1001	2.95126	0.350139	3.3014	30.1932	0.673886	30.8671	17.7011	0.610251	18.3113	10.1681	0.384156	10.5523	294.813	0.875641	295.689	
248.322	1.00086	249.323	1.26273	0.275947	1.53868	249.897	0.800276	250.697	21.0468	0.379757	21.4265	3.01548	0.400871	3.41635	34.0172	0.596175	34.6133	14.4824	0.629899	15.1123	10.7983	0.385622	11.1839	225.496	0.958337	226.454	
251.905	2.67238	254.577	1.30056	0.296475	1.59703	244.275	0.731656	245.007	31.0788	0.372426	31.4512	3.01988	0.325506	3.34538	41.0381	0.576527	41.6147	21.4875	0.57946	22.067	10.4531	0.38269	10.8358	277.428	1.39059	278.819	
233.623	0.859219	234.482	2.75771	0.799983	3.5577	245.244	1.20555	246.45	44.5331	0.36011	44.8932	3.22926	0.356884	3.58614	41.6425	0.722272	42.3648	15.5064	0.610251	16.1167	10.5168	0.433422	10.9502	281.898	0.89265	282.791	
262.138	1.51522	263.653	1.28824	0.668021	1.95626	260.263	0.874761	261.138	20.3412	0.330198	20.6714	3.03513	0.343981	3.37911	32.5533	0.603799	33.1571	13.5551	1.16654	14.7217	18.4275	0.413774	18.8412	224.682	0.902033	225.584	
257.636	0.941622	258.577	2.28001	0.433129	2.71314	239.793	0.726671	240.519	19.3896	0.329905	19.7195	2.95976	0.350432	3.31019	29.5554	0.585031	30.1404	21.0614	0.622274	21.6837	10.92	0.588257	11.5083	255.695	1.45305	257.148	
225.07	1.25276	226.323	1.30056	0.285331	1.58589	235.705	0.742506	236.447	20.1178	0.337236	20.455	3.00932	0.342515	3.35183	29.202	0.571835	29.7738	20.0483	0.914057	20.9623	17.8694	0.862445	18.7319	268.618	2.55948	271.177	
291.395	2.6539	294.049	2.34159	0.279173	2.62077	223.002	0.743679	223.745	30.809	0.393247	31.2023	3.03073	0.629312	3.66004	29.7337	0.594415	30.3281	13.5719	0.571542	14.1434	10.2303	0.38269	10.613	235.024	0.900567	235.925	
229.824	0.853941	230.678	1.30936	0.27888	1.58824	256.442	0.798223	257.24	20.3412	0.382983	20.7242	3.21665	0.355711	3.57236	29.5563	0.618462	30.1747	13.8188	0.670953	14.4897	10.3347	0.422572	10.7572	224.427	2.22488	226.652	
246.011	1.50906	247.52	2.03691	0.422572	2.45948	236.683	2.24335	238.926	32.7301	0.333424	33.0635	3.01665	0.331958	3.34861	38.7256	0.639283	39.3648	13.9381	0.606145	14.5443	12.4631	0.414067	12.8771	236.612	1.34396	237.956	
247.539	0.907312	248.447	1.28678	0.274774	1.56155	251.959	0.829894	252.788	29.1354	0.339289	29.4747	2.94862	0.329905	3.27852	28.9539	0.67242	29.6263	13.8487	0.604679	14.4534	23.9634	0.484154	24.4476	216.528	0.885905	217.414	
299.543	1.02197	300.565	3.27647	0.699105	3.97557	234.935	0.73928	235.674	41.473	0.447791	41.9208	7.19222	0.967721	8.15994	30.0301	1.74776	31.7779	13.8639	0.607025	14.471	10.2951	0.401458	10.6965	242.948	0.936637	243.884	
233.343	0.924614	234.267	1.25423	0.353951	1.60818	255.153	1.02813	256.181	19.7559	0.340755	20.0966	3.07941	0.325506	3.40491	28.9572	0.660396	29.6175	13.6636	0.571835	14.2355	10.3684	0.444565	10.813	292.474	1.13487	293.608	
298.604	0.871242	299.476	1.31493	0.287384	1.60231	304.36	0.761274	305.121	20.4515	0.371253	20.8227	8.77811	0.97212	9.75023	30.9386	0.63811	31.5767	14.3504	1.28091	15.6313	10.0951	0.410255	10.5053	230.618	0.928719	231.547	
269.925	1.41844	271.343	1.30525	0.294715	1.59997	215.757	0.761861	216.519	19.6013	0.382103	19.9834	3.03073	0.351312	3.38204	36.1303	0.597934	36.7282	13.7716	0.626966	14.3985	10.5279	0.403804	10.9317	241.378	0.972706	242.35	
268.775	0.937517	269.712	1.2466	0.270962	1.51756	228.009	0.801449	228.811	21.0034	0.360696	21.3641	3.0275	0.328732	3.35623	29.1349	0.638989	29.7738	13.7047	0.559519	14.2642	17.39	0.408789	17.7987	258.59	1.64894	260.239	
222.767	0.923734	223.691	3.72807	0.788546	4.51662	240.096	0.747198	240.843	39.6209	0.361283	39.9821	8.86403	1.40994	10.274	36.0242	0.752477	36.7766	13.9669	0.598228	14.5651	10.2625	0.396766	10.6593	243.891	0.843384	244.735	
213.948	0.8557	214.804	1.40994	0.356884	1.76682	254.463	0.803502	255.266	31.5759	0.460694	32.0366	3.39494	0.351899	3.74684	30.5369	0.577993	31.1149	14.3912	0.579753	14.9709	10.1919	0.377705	10.5696	260.449	0.883852	261.333	
