Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
709.811	1.00526	710.816	294.459	1.24367	295.702	951.383	0.883559	952.266	816.514	0.42697	816.941	716.888	0.394713	717.283	654.235	1.27974	655.515	383.536	0.629899	384.166	141.983	0.460694	142.444	749.882	0.941329	750.823	
860.512	1.65627	862.168	303.894	0.315243	304.209	912.059	0.855407	912.914	779.16	0.514358	779.675	708.169	0.482394	708.651	652.413	0.657757	653.071	368.809	0.622274	369.431	160.253	0.473304	160.726	795.626	0.917869	796.544	
807.462	0.926666	808.388	316.416	0.296181	316.712	973.691	1.22431	974.916	753.294	0.472131	753.766	801.37	0.962149	802.332	718.464	1.36273	719.827	363.318	0.676232	363.994	200.521	1.33927	201.86	866.679	0.941915	867.62	
833.853	2.2325	836.085	340.004	0.326972	340.331	913.491	0.814939	914.306	822.553	0.440167	822.994	847.226	0.444272	847.671	640.623	0.748958	641.372	404.633	1.55803	406.191	151.786	0.553654	152.339	850.217	1.00584	851.223	
768.048	1.27446	769.323	324.038	0.347793	324.385	955.756	1.4941	957.25	832.292	1.34572	833.637	828.633	0.499403	829.132	682.611	0.675352	683.287	362.315	0.692361	363.007	173.555	0.480048	174.035	867.793	0.958044	868.751	
836.649	0.940449	837.589	365.319	0.30058	365.619	843.861	0.939863	844.801	732.733	0.471544	733.204	834.726	0.424038	835.15	741.71	2.64804	744.358	359.884	0.680631	360.565	162.423	0.651892	163.075	862.099	1.15012	863.249	
817.079	0.979744	818.058	289.557	0.303513	289.86	929.942	1.04661	930.988	742.893	0.4387	743.332	845.126	0.40615	845.532	679.707	0.692947	680.4	324.49	0.963616	325.454	149.881	0.483274	150.364	759.971	1.03722	761.008	
774.712	1.00203	775.714	308.708	0.298234	309.006	1077.02	0.902033	1077.93	759.533	0.457761	759.991	867.288	0.480635	867.769	713.847	0.678871	714.526	323.893	0.692654	324.586	188.977	0.454536	189.431	847.401	0.916109	848.317	
830.861	0.947194	831.808	335.394	0.299994	335.694	872.196	0.893236	873.089	777.225	0.461867	777.687	776.832	0.431076	777.263	662.073	0.980038	663.053	326.274	1.15305	327.427	168.152	0.567143	168.72	899.461	0.905259	900.367	
834.95	1.10643	836.057	359.923	0.73019	360.653	907.878	0.835759	908.714	858.633	1.21493	859.848	756.663	0.84573	757.508	613.427	0.712301	614.139	340.748	1.53604	342.284	161.024	1.59762	162.621	801.253	1.07652	802.33	
853.291	1.26947	854.561	333.684	0.447791	334.132	859.2	1.53516	860.735	754.552	0.456295	755.008	753.628	0.410842	754.039	628.344	0.714061	629.058	371.976	0.74016	372.716	142.383	0.482688	142.866	793.439	0.924027	794.363	
836.344	0.999685	837.343	305.107	0.309084	305.416	908.784	1.24543	910.029	836.4	0.458641	836.859	775.256	0.535766	775.792	646.621	0.717873	647.339	385.805	0.655411	386.461	162.255	0.491485	162.746	826.499	0.943968	827.443	
901.77	1.87386	903.643	309.19	0.309671	309.5	888.244	1.23135	889.475	827.544	0.460987	828.005	721.572	0.60292	722.175	669.559	0.738987	670.298	363.059	0.701158	363.761	147.448	0.94954	148.398	831.582	1.06391	832.646	
887.177	1.05716	888.234	303.892	0.339289	304.231	924.834	0.829894	925.664	890.424	0.599987	891.024	813.374	0.460694	813.834	677.254	0.744559	677.998	369.226	0.731949	369.958	142.577	0.460987	143.038	768.927	0.916403	769.844	
815.38	1.01728	816.397	337.022	0.311137	337.333	882.223	1.09147	883.315	848.276	0.470078	848.746	748.522	0.422572	748.944	668.22	1.12226	669.343	358.108	0.703504	358.811	151.044	0.584445	151.629	834.171	1.00379	835.174	
787.477	1.19909	788.676	295.95	0.369494	296.319	814.582	1.53017	816.112	781.283	0.47301	781.756	681.04	1.05159	682.092	634.566	0.695	635.261	342.79	1.98705	344.777	152.039	0.502042	152.541	823.19	1.04983	824.24	
811.918	1.06273	812.981	272.896	0.355124	273.251	926.361	0.851008	927.212	720.353	1.22079	721.573	814.041	1.06948	815.111	676.058	1.6721	677.73	334.534	1.29763	335.831	154.901	0.538698	155.439	814.464	1.529	815.993	
760.027	1.01317	761.04	321.741	0.343101	322.084	1014.37	1.58794	1015.96	846.825	0.548082	847.373	873.794	0.455709	874.25	781.229	0.762447	781.992	411.248	0.78796	412.036	168.622	1.18678	169.809	812.186	0.991474	813.178	
768.922	1.88764	770.81	350.125	0.306738	350.432	925.028	0.885612	925.914	819.485	0.475063	819.96	822.29	0.462453	822.753	730.292	0.760688	731.052	322.079	0.709662	322.789	175.607	1.212	176.819	808.24	1.32079	809.561	
799.75	1.12871	800.878	286.84	0.306445	287.147	883.709	0.876814	884.586	831.125	1.3771	832.502	779.12	0.456882	779.577	668.47	0.69412	669.164	310.811	0.651012	311.462	162.199	0.518464	162.718	876.983	2.82633	879.809	
770.979	0.987955	771.967	276.175	0.332837	276.508	879.519	1.1683	880.687	827.865	0.448084	828.313	690.328	0.412015	690.74	733.606	0.747785	734.353	349.956	0.702918	350.659	199.337	0.571249	199.908	792.336	0.940449	793.277	
840.593	0.96039	841.553	361.646	0.419932	362.066	894.077	1.23106	895.308	726.001	0.535766	726.537	746.248	0.443979	746.692	803.771	0.777403	804.548	389.579	1.39117	390.97	170.866	0.465386	171.331	823.731	1.00702	824.738	
790.423	1.03077	791.453	324.691	0.308205	324.999	922.026	0.887958	922.914	836.681	0.455709	837.137	779.674	0.460107	780.134	655.014	2.14453	657.159	379.637	0.711715	380.349	149.545	0.877401	150.422	801.951	3.0709	805.021	
