Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
5.52539	1.01728	6.54268	2.29936	0.361283	2.66065	5.92451	0.913177	6.83768	6.42303	0.48474	6.90777	5.57378	0.465093	6.03887	5.06206	0.918162	5.98022	4.62307	1.55041	6.17347	2.33426	0.41524	2.7495	4.48729	0.82139	5.30868	
5.44475	0.831654	6.27641	2.37532	0.317295	2.69261	4.69345	0.720512	5.41396	7.14706	0.371546	7.51861	4.52483	0.352485	4.87731	4.45856	0.84397	5.30253	3.01255	0.887371	3.89992	2.05333	0.385915	2.43924	4.4043	0.876814	5.28112	
4.33099	0.924907	5.2559	1.85949	0.265977	2.12547	4.53891	0.753356	5.29226	14.8824	0.386795	15.2692	4.38202	0.351019	4.73304	4.40079	1.06889	5.46968	3.00697	1.10115	4.10812	2.37414	0.376238	2.75038	4.56207	0.836052	5.39812	
4.53245	0.831067	5.36352	1.81756	0.317882	2.13544	4.65533	0.771244	5.42657	5.182	0.392367	5.57437	4.36325	0.37008	4.73333	4.42454	0.899687	5.32423	2.98557	0.852768	3.83833	2.26857	0.357177	2.62575	4.50254	1.13223	5.63478	
4.3348	0.811126	5.14593	1.7897	0.27888	2.06858	4.67263	0.755996	5.42862	4.982	0.365975	5.34798	4.60019	0.38357	4.98376	4.40548	0.870069	5.27555	2.97589	0.826669	3.80256	2.56681	0.336356	2.90316	4.45826	0.854234	5.3125	
4.37263	0.757169	5.1298	2.67648	0.341928	3.01841	4.48847	0.747198	5.23567	4.85268	0.379171	5.23185	4.29228	0.361576	4.65386	10.3945	2.01697	12.4115	3.03601	0.844263	3.88027	3.44391	0.811713	4.25563	4.34155	0.780335	5.12188	
4.43686	0.777989	5.21484	1.87239	0.306445	2.17884	4.43128	0.844557	5.27584	4.78582	0.351605	5.13743	9.69187	0.364802	10.0567	4.42894	0.892063	5.321	4.71368	0.860685	5.57437	2.10817	0.359816	2.46798	5.99753	0.902913	6.90044	
4.3392	0.824909	5.16411	3.16357	0.316709	3.48028	4.62541	0.738987	5.3644	4.96412	0.396179	5.3603	4.44595	0.364508	4.81045	13.2507	2.58704	15.8378	6.04415	1.65158	7.69573	5.10429	0.329905	5.43419	4.348	0.790892	5.13889	
4.32718	0.753063	5.08024	1.85187	0.288264	2.14013	4.54594	0.689428	5.23537	4.83597	0.356591	5.19256	4.35035	0.347207	4.69755	4.44712	0.916989	5.36411	3.04334	0.824909	3.86825	2.07562	0.323747	2.39936	9.89949	1.67797	11.5775	
4.37703	0.810247	5.18728	1.83896	0.268029	2.10699	4.91602	2.07503	6.99105	11.8399	0.384156	12.2241	5.55091	0.384449	5.93536	7.15029	1.43164	8.58193	3.08205	0.837519	3.91956	2.24482	0.355418	2.60024	4.31193	0.852181	5.16411	
