Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: false
Heuristic: Stanford Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
9.89216	1.23516	11.1273	1.80759	0.292662	2.10025	4.94036	0.759221	5.69958	6.14122	0.390314	6.53153	5.64944	0.382397	6.03184	4.58201	0.68415	5.26616	3.09143	0.669487	3.76092	3.02105	0.52169	3.54274	4.89022	0.834879	5.7251	
4.53392	0.907605	5.44153	1.81374	0.395886	2.20963	4.44741	0.748958	5.19637	5.2949	0.400871	5.69577	4.26032	0.349553	4.60987	5.0084	0.929306	5.9377	3.1316	0.636057	3.76766	2.04072	0.338702	2.37942	4.42425	0.811713	5.23596	
4.35093	0.757169	5.1081	1.84952	0.293835	2.14336	4.40401	0.708782	5.11279	4.90869	0.417	5.32569	4.2222	0.345154	4.56735	4.39345	0.673593	5.06705	3.09788	0.604679	3.70256	2.13427	0.326093	2.46036	4.68289	0.761567	5.44446	
4.36237	0.797344	5.15971	1.83456	0.292662	2.12723	4.61075	0.7862	5.39695	9.26197	0.381224	9.6432	4.35709	0.345447	4.70254	4.49814	0.663329	5.16147	3.13659	0.621981	3.75857	2.20992	0.372426	2.58235	4.4392	0.85482	5.29402	
4.31633	0.817871	5.1342	1.87034	0.270375	2.14072	4.34067	0.721099	5.06177	5.66791	0.368027	6.03594	4.34976	0.373892	4.72365	8.41742	1.7158	10.1332	3.68819	0.649546	4.33774	2.7105	0.457468	3.16797	5.82949	1.06009	6.88959	
5.43801	0.819044	6.25705	1.92782	0.296768	2.22459	4.50166	0.69324	5.1949	4.78084	0.408789	5.18962	4.33392	0.347207	4.68113	4.31252	0.609958	4.92248	3.63335	0.635177	4.26853	2.25156	0.365095	2.61666	10.2444	0.962443	11.2068	
4.26237	0.837812	5.10018	2.00758	0.269496	2.27708	4.42747	0.680044	5.10752	4.83421	0.373599	5.20781	10.6813	1.02168	11.703	4.42513	0.609958	5.03508	3.1146	0.629899	3.74449	2.11872	0.331958	2.45068	4.24419	0.814645	5.05884	
4.95385	0.949247	5.9031	4.6392	0.304392	4.94359	8.76902	0.731656	9.50068	6.13535	0.435768	6.57112	4.85356	0.395593	5.24915	6.2506	0.894702	7.1453	3.64186	0.791772	4.43363	2.09644	0.361869	2.45831	4.79667	1.46654	6.26321	
4.64682	0.824909	5.47173	1.93925	0.312017	2.25127	4.54858	0.73019	5.27877	5.67788	0.420812	6.0987	4.43891	0.385915	4.82482	4.59814	0.666261	5.2644	2.9841	0.639869	3.62397	2.38265	0.366561	2.74921	4.4134	0.838692	5.25209	
4.4263	0.806434	5.23273	1.80847	0.280053	2.08852	4.58348	1.65774	6.24122	10.7637	0.405856	11.1696	8.01742	1.01581	9.03324	7.09105	0.674472	7.76552	3.42368	0.637523	4.0612	2.48147	0.418173	2.89964	5.25385	0.830481	6.08433	
