Using Best Grid Path: false
Using Waypoints: false
Using Best Waypoint Path: false
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0	23.6661	23.6661	0	12.4645	12.4645	0	19.6447	19.6447	0	17.6747	17.6747	0	12.6748	12.6748	0	16.0442	16.0442	0	5.61073	5.61073	0	3.51019	3.51019	0	18.8855	18.8855	
0	17.7879	17.7879	0	5.69929	5.69929	0	17.5973	17.5973	0	13.6493	13.6493	0	12.2701	12.2701	0	22.8631	22.8631	0	9.32091	9.32091	0	3.58262	3.58262	0	18.1451	18.1451	
0	16.5105	16.5105	0	5.87348	5.87348	0	19.8969	19.8969	0	13.9396	13.9396	0	19.85	19.85	0	17.1615	17.1615	0	5.31836	5.31836	0	4.59697	4.59697	0	21.4881	21.4881	
0	16.5932	16.5932	0	5.19696	5.19696	0	18.1345	18.1345	0	21.8887	21.8887	0	14.0393	14.0393	0	16.6735	16.6735	0	6.07084	6.07084	0	4.22484	4.22484	0	17.031	17.031	
0	17.2817	17.2817	0	5.21895	5.21895	0	18.1612	18.1612	0	14.3982	14.3982	0	12.1258	12.1258	0	16.6955	16.6955	0	5.56498	5.56498	0	3.553	3.553	0	18.6459	18.6459	
0	16.6621	16.6621	0	5.16646	5.16646	0	17.6791	17.6791	0	13.8566	13.8566	0	12.4405	12.4405	0	20.1403	20.1403	0	7.4538	7.4538	0	3.53511	3.53511	0	16.626	16.626	
0	16.5542	16.5542	0	5.3166	5.3166	0	18.5292	18.5292	0	16.8463	16.8463	0	13.2106	13.2106	0	16.0753	16.0753	0	8.74233	8.74233	0	6.21453	6.21453	0	19.3752	19.3752	
0	29.6689	29.6689	0	11.1402	11.1402	0	20.3823	20.3823	0	18.5322	18.5322	0	15.412	15.412	0	16.1428	16.1428	0	5.75735	5.75735	0	3.44714	3.44714	0	16.9454	16.9454	
0	16.4322	16.4322	0	6.17142	6.17142	0	16.9008	16.9008	0	13.9918	13.9918	0	20.3283	20.3283	0	16.1149	16.1149	0	5.45326	5.45326	0	3.56943	3.56943	0	18.9415	18.9415	
0	16.5727	16.5727	0	5.28904	5.28904	0	17.0457	17.0457	0	15.2809	15.2809	0	20.7427	20.7427	0	15.7926	15.7926	0	5.41953	5.41953	0	3.41723	3.41723	0	16.9058	16.9058	
