Using Best Grid Path: true
Using Waypoints: true
Using Best Waypoint Path: true
Heuristic: Manhattan Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
2.55097	0.343688	2.89466	41.4754	0.605266	42.0806	0.111141	0.800569	0.911711	20.6623	0.471544	21.1339	24.4684	0.599987	25.0684	47.0081	0.883559	47.8916	35.6552	0.688548	36.3438	4.09962	0.337529	4.43715	5.94797	0.346034	6.294	
2.88176	0.478289	3.36005	37.7743	0.602626	38.3769	0.0419346	0.198236	0.240171	19.0462	0.431956	19.4782	30.6316	1.82958	32.4612	54.8117	0.839278	55.651	35.1148	0.694413	35.8092	4.48553	0.305565	4.7911	5.68668	0.721099	6.40778	
2.73748	0.361283	3.09876	37.2848	0.584738	37.8696	0.0404683	0.17507	0.215538	19.4858	0.472424	19.9582	23.4837	0.54251	24.0262	49.6488	0.837812	50.4866	39.5411	0.678285	40.2194	4.04332	0.42697	4.47029	8.06258	1.03194	9.09453	
7.75409	1.59029	9.34437	53.6857	0.597055	54.2827	0.0436941	0.240757	0.284451	19.7289	0.464506	20.1934	26.3502	0.556293	26.9065	50.4731	0.860979	51.3341	36.535	0.758342	37.2933	4.08466	0.328145	4.41281	9.63968	0.558053	10.1977	
2.55625	0.318762	2.87501	56.4835	0.604093	57.0876	0.0416413	0.506441	0.548082	32.0618	0.561278	32.6231	24.6376	0.643681	25.2813	49.5221	0.96039	50.4825	36.1312	0.68415	36.8153	4.60899	0.357764	4.96676	5.98433	0.383276	6.36761	
3.00785	0.375359	3.38321	39.5804	0.656877	40.2373	0.0521983	0.263924	0.316122	21.5667	0.507614	22.0743	25.9912	0.780042	26.7713	48.1925	0.884732	49.0772	35.7318	0.694707	36.4265	4.34741	0.370373	4.71779	5.99313	0.601453	6.59458	
2.66065	0.315829	2.97648	37.4734	0.561865	38.0353	0.0604093	0.247502	0.307911	19.2204	0.456002	19.6764	29.9721	0.651599	30.6237	48.9119	0.85482	49.7667	59.5061	0.673593	60.1797	12.2153	1.07094	13.2862	7.70981	0.501749	8.21155	
3.40315	0.443686	3.84684	40.12	0.719926	40.8399	0.0448671	0.202048	0.246916	42.6589	1.26068	43.9196	44.4011	0.674179	45.0753	58.8958	1.20232	60.0981	63.9423	0.892356	64.8347	4.47498	0.446618	4.9216	6.92918	0.435475	7.36465	
2.57003	0.348086	2.91812	39.1024	0.675352	39.7777	0.0480928	0.233719	0.281812	19.9843	0.47477	20.4591	23.54	0.563331	24.1033	55.3888	0.856873	56.2457	42.2962	0.754236	43.0504	6.05618	0.376238	6.43241	6.26643	0.334304	6.60074	
2.5586	0.755409	3.31401	43.1885	0.651012	43.8395	0.0419346	0.183867	0.225802	19.7295	0.690601	20.4201	27.461	0.559812	28.0208	55.9141	0.850422	56.7645	44.3049	0.736641	45.0416	4.41515	0.411428	4.82658	5.97143	0.38181	6.35324	
