Using Best Grid Path: false
Using Waypoints: false
Using Best Waypoint Path: false
Heuristic: Pure Distance


0_WaypointTraversalTime	0_GridTraversalTime	0_TotalTraversalTime	1_WaypointTraversalTime	1_GridTraversalTime	1_TotalTraversalTime	2_WaypointTraversalTime	2_GridTraversalTime	2_TotalTraversalTime	3_WaypointTraversalTime	3_GridTraversalTime	3_TotalTraversalTime	4_WaypointTraversalTime	4_GridTraversalTime	4_TotalTraversalTime	5_WaypointTraversalTime	5_GridTraversalTime	5_TotalTraversalTime	6_WaypointTraversalTime	6_GridTraversalTime	6_TotalTraversalTime	7_WaypointTraversalTime	7_GridTraversalTime	7_TotalTraversalTime	8_WaypointTraversalTime	8_GridTraversalTime	8_TotalTraversalTime	
0	34.5573	34.5573	0	0.799983	0.799983	0	18.8591	18.8591	0	17.3398	17.3398	0	18.5157	18.5157	0	38.0863	38.0863	0	38.9789	38.9789	0	1.68765	1.68765	0	0.389434	0.389434	
0	40.0745	40.0745	0	0.63547	0.63547	0	25.1408	25.1408	0	17.3832	17.3832	0	18.2348	18.2348	0	42.7938	42.7938	0	52.2423	52.2423	0	1.95245	1.95245	0	0.259232	0.259232	
0	36.83	36.83	0	0.560692	0.560692	0	24.0153	24.0153	0	16.2117	16.2117	0	18.7465	18.7465	0	37.4209	37.4209	0	34.0526	34.0526	0	4.6738	4.6738	0	0.229027	0.229027	
0	38.1314	38.1314	0	1.26126	1.26126	0	29.2774	29.2774	0	15.7246	15.7246	0	20.8899	20.8899	0	38.1622	38.1622	0	31.5671	31.5671	0	1.67885	1.67885	0	0.310257	0.310257	
0	40.9783	40.9783	0	0.546909	0.546909	0	23.9968	23.9968	0	20.2444	20.2444	0	30.1932	30.1932	0	43.4835	43.4835	0	51.5907	51.5907	0	3.18615	3.18615	0	0.571835	0.571835	
0	42.4217	42.4217	0	1.1859	1.1859	0	23.1878	23.1878	0	15.2407	15.2407	0	19.1442	19.1442	0	40.0056	40.0056	0	31.7222	31.7222	0	1.95157	1.95157	0	0.296768	0.296768	
0	36.5966	36.5966	0	1.10672	1.10672	0	22.4922	22.4922	0	18.2858	18.2858	0	19.0365	19.0365	0	45.3961	45.3961	0	37.7986	37.7986	0	1.68032	1.68032	0	0.276534	0.276534	
0	35.0168	35.0168	0	0.573888	0.573888	0	28.3973	28.3973	0	20.1321	20.1321	0	18.7694	18.7694	0	57.3366	57.3366	0	32.0005	32.0005	0	1.75832	1.75832	0	0.41788	0.41788	
0	36.1857	36.1857	0	1.00057	1.00057	0	20.2392	20.2392	0	16.5281	16.5281	0	18.3392	18.3392	0	42.244	42.244	0	35.7154	35.7154	0	1.65656	1.65656	0	0.229321	0.229321	
0	39.827	39.827	0	0.577993	0.577993	0	39.4382	39.4382	0	19.6046	19.6046	0	20.4274	20.4274	0	49.8649	49.8649	0	29.9322	29.9322	0	1.66595	1.66595	0	0.297354	0.297354	
